bvid,aid,title,author,mid,description,duration,pubdate,created,view,danmaku,reply,favorite,coin,like,share,tag,typeid,typename,pic,arcurl,pts,arcrank,badgepay,search_keyword,collected_at
BV1bQ4y187wo,705772408,如何拥有“圣人”般，恐怖的行动力，如利剑般执行！,一知君,1780540121,-王阳明,28:37,1699614018,0,2373627,8960,4528,184157,0,183935,0,"自律,专注,王阳明,自控力,自我提升,知行合一,行动力,阳明心学,个人成长,万物研究所,万物研究所·第11期",124,社科·法律·心理,//i1.hdslb.com/bfs/archive/07e844a1bbe31a8ff0389d493d107e1e53f82d68.jpg,http://www.bilibili.com/video/av705772408,0,,False,执行力,1756708571
BV1iNe9zEEqh,115104569953481,低谷期低能量无痛邪修：一个让你逆转状态，回收执行力的顶级方法！(附操作文档)【开学第一课】,爱你的T酱,8188433,"这个方法多次在低谷期帮助我重新找回内心的秩序，也希望它能帮助更多有需要的人活出自己真正向往的样子，毫不费力的。请多多一键三连支持T酱 ❥(^_-)【T酱制作的方法论模板在置顶评论自取】本期点赞过两万，马上爆肝下一期，世界和我爱着你💗
参考资料：
斯蒂芬·盖斯. 弹性习惯. 湖南文艺出版社, 2021.
詹姆斯·克利尔. 掌控习惯. 北京联合出版公, 2019.
尼尔·菲奥里. 战胜拖拉. 东方出版社, 2008.",8:39,1756356795,0,379476,260,425,21839,0,16157,0,"学习,心理学,职场,情感,社交,自律,焦虑,心理分析,拖延,我的开学第一课",124,社科·法律·心理,//i2.hdslb.com/bfs/archive/28205cd58b99c14db35f47dea55bae9f10da35e5.jpg,http://www.bilibili.com/video/av115104569953481,0,,False,执行力,1756708571
BV1H5toz7EEU,115014962779652,如何拥有人最顶级的天赋，疯狂的执行力！,记忆宫殿宁梓亦,129860965,-,14:40,1754989318,0,47467,121,66,8585,0,4678,0,"励志,人生,努力,大学生,自律,年轻人,方法论,执行力,原生家庭,唠点心理话",124,社科·法律·心理,//i1.hdslb.com/bfs/archive/2a4eaa5587b7ba94487cbe862406ad5677fa52aa.jpg,http://www.bilibili.com/video/av115014962779652,0,,False,执行力,1756708571
BV15De6zgEMv,115097573791473,我找到了执行力的关键（福格行为模型实践分享,万伯渊,1274633472,早睡早起，加油加油,9:43,1756292400,0,1618,5,21,204,0,77,0,"吐槽,模型,记录,执行力,生活记录,福格行为模型,随手记录我的生活碎片",208,校园学习,//i0.hdslb.com/bfs/archive/342409dbad2c8b9916a550400527f10ad207b924.jpg,http://www.bilibili.com/video/av115097573791473,0,,False,执行力,1756708571
BV1PT421z7Ej,1706567791,如何拥有超强执行力？就靠3个字：不要脸！一个视频根治躺平、拖延、摆烂！,硬核学长2077,1195497797,"为什么你去做事，刚过3秒就想放弃？而高手却能像打游戏一样，如利剑般疯狂执行？
这个视频，就给你解释清楚。赶紧点赞收藏。
 
我们解决问题，一定要抓本质。
执行力=动力-阻力
人和人之间的动力，其实差别不大。
哪怕是最菜的学渣，都知道努力很重要。但就是不做。
所以，想提高执行力，靠增加动力是几乎没用的。关键是要减少阻力。
然而很多人，会太在意牛马眼中的面子，这不敢做，那怕丢脸，结果被同化成执行力低下的牛马。
正如鲁迅所说：“丢脸不多，执行越拖。脸皮越厚，更快学透。”
所以，练就超强执行力，就靠3个字：不要脸",13:4,1725076808,0,426928,655,1047,37515,0,23552,0,"大学,知识,高中,学习,心理学,自律,学习方法,校园学习,哔哩哔哩开学季,社科·法律·心理,UP！新学期",124,社科·法律·心理,//i1.hdslb.com/bfs/archive/781351456c9c8a0100ca6f219776cab7520b1f74.jpg,http://www.bilibili.com/video/av1706567791,0,,False,执行力,1756708571
BV1YXaEzrEhP,115127269461787,王文华《绝对执行-管理者高效执行力的四种途径》,王文华老师,1359657622,王文华老师17年企业中高层管理人才系统训练专家，擅长领域：MTP系列、团队管理，目标管理、领导力、执行力、有效沟通，非人等,11:18,1756702823,0,0,0,0,0,0,0,0,"教育,执行力,管理,企业管理,管理者",209,职业职场,//i0.hdslb.com/bfs/archive/e97d9a600c317941b2839b1d0553b70fad254700.jpg,http://www.bilibili.com/video/av115127269461787,0,,False,执行力,1756708571
BV1n142187g4,1556292045,马斯克：人生残酷的真相，没有恐怖执行力，会永远被社会毒打,记忆宫殿宁梓亦,129860965,,14:30,1721559268,0,522677,679,787,49480,0,29065,0,"生活,教育,知识,学习,大学生,经验,心理学,自律,思维,方法论",124,社科·法律·心理,//i1.hdslb.com/bfs/archive/63eeaa5ada8e331c5630b309083a34ae89b99fa6.jpg,http://www.bilibili.com/video/av1556292045,0,,False,执行力,1756708571
BV1xK411T7of,499195760,【TEDx2018】如何克服懒癌提高你的执行力,TED演讲百科,263558571,"TED Talks
你每天都要使用大脑的执行功能——它让你能够集中注意力、提前计划和抑制冲动。你能够提升这个能力，做得更好吗？认知学专家萨宾·德贝尔带着自己对于儿童成长的研究，探求影响执行功能的因素——以及你该如何运用这项功能来改变自己的坏习惯，达成你的目标。",9:17,1596719163,0,32988,21,22,1011,0,538,0,"心理,TED,英语,教育,学习",124,社科·法律·心理,//i2.hdslb.com/bfs/archive/426d9904db0c67bc41e45da9ae9cbe8aeaf54e2c.jpg,http://www.bilibili.com/video/av499195760,0,,False,执行力,1756708571
BV1RhpKexEyX,113082999309110,Ali Abdaal - 【提高执行力】用12周完成别人1年的工作量,AliAbdaal,3546581580122806,,17:28,1725595200,0,109450,190,111,9796,0,5491,0,"经验分享,执行力,请回答这个时代,请回答这个时代3.0",124,社科·法律·心理,//i1.hdslb.com/bfs/archive/300a1e5e8cd4996a663b569f0f81d7d74e504132.jpg,http://www.bilibili.com/video/av113082999309110,0,,False,执行力,1756708571
BV12s4y1C7tX,997667278,【自律真相】拖延不是懒，如何在学习和工作中快速获得行动力？1个掌握无意识的心法+4个让你立刻行动的方法（深度心理解析）,南北大师兄,1712575974,1个深层管理无意识的心法+4个让你立刻行动的方法，希望能够帮助到你自律、改善拖延的状况，内容制作不易，感谢大家多多支持、三连关注哦！,24:24,1687771083,0,510755,1756,955,39242,0,31505,0,"考试,知识,学习,工作,心理学,多巴胺,自律,自控力,拖延,今天也要好好工作",124,社科·法律·心理,//i2.hdslb.com/bfs/archive/ce1bca446f63ed6dad583741e14bace96bdd66b2.jpg,http://www.bilibili.com/video/av997667278,0,,False,执行力,1756708571
BV1A4pveQE3C,113101504512543,【显化&amp;陪伴学习】思维集中/执行力/缓解焦虑,AL你一定会赢,25402029,"边显化边学习
本次是执行力 思维集中 专注力 buff
缓解焦虑 
显化学习视频记得多喝水！！",53:37,1726212600,0,81237,7,92,4362,0,2553,0,"考试,学习,纱布,playlist,显化,陪伴学习,哔哩哔哩开学季,新学期多点新知识",208,校园学习,//i2.hdslb.com/bfs/archive/d832180bcc1030ec7ef42d5477a65b23055e5e08.jpg,http://www.bilibili.com/video/av113101504512543,0,,False,执行力,1756708571
BV1d2AmeoE6p,114052604892727,【催眠音声】*叮，您与论文小姐有个约会    ｜执行力｜克服拖延｜专注当下,催眠红茶,2053817796,"本音频是个帮助您提高执行力、专注当下的功能性音频，后面有适度的快感暗示作为正向激励。
无论您现阶段正在进行论文创作，还是有其他的任务，都可以收听本音频。

*请享受与论文小姐那甜甜蜜蜜、酱酱酿酿的happy date吧w

cv：温以泠
台本&amp;后期：茶
台本润色：鱼汤
特别感谢@亚谶  在这个过程中的帮助",58:40,1740743459,0,26085,99,120,915,0,646,0,"小姐,催眠,学习,女性向,男性,耳机福利,中文音声,经验分享,论文,bilibili公考季,bilibili 公考季 · 上岸进行时",21,日常,//i0.hdslb.com/bfs/archive/bdb158b53c4eea2f1e1a14d434b2d2ddc91238b5.jpg,http://www.bilibili.com/video/av114052604892727,0,,False,执行力,1756708571
