bvid,aid,title,author,mid,description,duration,pubdate,created,view,danmaku,reply,favorite,coin,like,share,tag,typeid,typename,pic,arcurl,pts,arcrank,badgepay,search_keyword,collected_at
BV1bQ4y187wo,705772408,如何拥有“圣人”般，恐怖的行动力，如利剑般执行！,一知君,1780540121,-王阳明,28:37,1699614018,0,2373629,8960,4528,184158,0,183935,0,"自律,专注,王阳明,自控力,自我提升,知行合一,行动力,阳明心学,个人成长,万物研究所,万物研究所·第11期",124,社科·法律·心理,//i1.hdslb.com/bfs/archive/07e844a1bbe31a8ff0389d493d107e1e53f82d68.jpg,http://www.bilibili.com/video/av705772408,0,,False,执行力不足,1756708775
BV1iNe9zEEqh,115104569953481,低谷期低能量无痛邪修：一个让你逆转状态，回收执行力的顶级方法！(附操作文档)【开学第一课】,爱你的T酱,8188433,"这个方法多次在低谷期帮助我重新找回内心的秩序，也希望它能帮助更多有需要的人活出自己真正向往的样子，毫不费力的。请多多一键三连支持T酱 ❥(^_-)【T酱制作的方法论模板在置顶评论自取】本期点赞过两万，马上爆肝下一期，世界和我爱着你💗
参考资料：
斯蒂芬·盖斯. 弹性习惯. 湖南文艺出版社, 2021.
詹姆斯·克利尔. 掌控习惯. 北京联合出版公, 2019.
尼尔·菲奥里. 战胜拖拉. 东方出版社, 2008.",8:39,1756356795,0,379510,260,425,21842,0,16159,0,"学习,心理学,职场,情感,社交,自律,焦虑,心理分析,拖延,我的开学第一课",124,社科·法律·心理,//i2.hdslb.com/bfs/archive/28205cd58b99c14db35f47dea55bae9f10da35e5.jpg,http://www.bilibili.com/video/av115104569953481,0,,False,执行力不足,1756708775
BV1fh411q7Tn,207172085,执行力不够怎么办,鹤老师说经济,493805437,,2:24,1628167115,0,267302,341,608,8039,0,12447,0,"知识分享官,认知,执行力,经济学",207,财经商业,//i1.hdslb.com/bfs/archive/631a9a18647e24fe9c55c86ab5295e07e317f476.jpg,http://www.bilibili.com/video/av207172085,0,,False,执行力不足,1756708775
BV1DZ421T7DB,1156308096,正在清醒地堕落怎么办？get超强执行力！！,张三三-,293281448,-,3:58,1721383917,0,93647,58,311,6020,0,9018,0,"心理,拖延症,自律,执行力,学习方法,拖延,行动力,自律指南",208,校园学习,//i2.hdslb.com/bfs/archive/d3187065590102b7ce8e120a67584293e0f4c35e.jpg,http://www.bilibili.com/video/av1156308096,0,,False,执行力不足,1756708775
BV19b421e78U,1805541698,你会得到自己日复一日重复的东西，也会成为自己日复一日成为的人。（100%行动力复苏指南！）,德芙奥特曼,91726235,"We will get what we repeat. 
We are what we repeat.",5:17,1718364600,0,259424,388,496,29471,0,24883,0,"励志,学习,大学生,高中生,干货,经验分享,执行力,拖延,行动力,知识分享官,525心理健康日",208,校园学习,//i2.hdslb.com/bfs/archive/7c670edf4d58e7dedfe666f988164d44a09c7dd2.jpg,http://www.bilibili.com/video/av1805541698,0,,False,执行力不足,1756708775
BV1PT421z7Ej,1706567791,如何拥有超强执行力？就靠3个字：不要脸！一个视频根治躺平、拖延、摆烂！,硬核学长2077,1195497797,"为什么你去做事，刚过3秒就想放弃？而高手却能像打游戏一样，如利剑般疯狂执行？
这个视频，就给你解释清楚。赶紧点赞收藏。
 
我们解决问题，一定要抓本质。
执行力=动力-阻力
人和人之间的动力，其实差别不大。
哪怕是最菜的学渣，都知道努力很重要。但就是不做。
所以，想提高执行力，靠增加动力是几乎没用的。关键是要减少阻力。
然而很多人，会太在意牛马眼中的面子，这不敢做，那怕丢脸，结果被同化成执行力低下的牛马。
正如鲁迅所说：“丢脸不多，执行越拖。脸皮越厚，更快学透。”
所以，练就超强执行力，就靠3个字：不要脸",13:4,1725076808,0,426929,655,1047,37515,0,23552,0,"大学,知识,高中,学习,心理学,自律,学习方法,校园学习,哔哩哔哩开学季,社科·法律·心理,UP！新学期",124,社科·法律·心理,//i1.hdslb.com/bfs/archive/781351456c9c8a0100ca6f219776cab7520b1f74.jpg,http://www.bilibili.com/video/av1706567791,0,,False,执行力不足,1756708775
BV1wt421371K,1802321813,天涯神帖:《如何提高一个人的执行力》,天涯版主小雨,3537114058721770,只有时代的天涯，没有天涯的时代，然而，一个时代，一个社区，作为时代的记录者，天涯的数据资产十分重要，应该妥善保护。,5:18,1711813352,0,22929,4,38,1609,0,916,0,"历史,学习,一个人,执行力,提高,天涯神帖,必剪创作,人文历史档案馆",228,人文历史,//i0.hdslb.com/bfs/archive/330452d40cf6012f197814ed3e61f0b900cb09e0.png,http://www.bilibili.com/video/av1802321813,0,,False,执行力不足,1756708775
BV1Qu4y187Ps,918203739,从来就没有什么“执行力”不足，不过是“不知道”罢了,傻白在美国,1373230511,-,4:40,1699418990,0,146135,142,228,9952,0,8630,0,"执行力,双11囤书攻略",124,社科·法律·心理,//i0.hdslb.com/bfs/archive/5bc087263838f9f145722e575f32277e66a00a52.jpg,http://www.bilibili.com/video/av918203739,0,,False,执行力不足,1756708775
BV1H5toz7EEU,115014962779652,如何拥有人最顶级的天赋，疯狂的执行力！,记忆宫殿宁梓亦,129860965,-,14:40,1754989318,0,47468,121,66,8585,0,4678,0,"励志,人生,努力,大学生,自律,年轻人,方法论,执行力,原生家庭,唠点心理话",124,社科·法律·心理,//i1.hdslb.com/bfs/archive/2a4eaa5587b7ba94487cbe862406ad5677fa52aa.jpg,http://www.bilibili.com/video/av115014962779652,0,,False,执行力不足,1756708775
BV1f7hRz7EdA,115112488732224,执行力不足怎么玩,科技手工折腾局,481743117,-,0:41,1756477378,0,2302,1,0,20,0,119,0,"教程,模型,DIY,手工,编程,电子电路,认知提升,必剪创作,把兴趣玩出名堂",233,极客DIY,//i0.hdslb.com/bfs/archive/f54d93f5713068e89a65e50f978169f92abddcdb.jpg,http://www.bilibili.com/video/av115112488732224,0,,False,执行力不足,1756708775
