bvid,aid,title,author,mid,description,duration,pubdate,created,view,danmaku,reply,favorite,coin,like,share,tag,typeid,typename,pic,arcurl,pts,arcrank,badgepay,search_keyword,collected_at
BV1Ti4y1o7zu,549970706,提高执行力的四把钥匙,一坛酒话,541618061,"https://www.jinengjingsai.com/
执行力的四把钥匙",19:16,1639638213,0,16271,11,1,520,0,102,0,"面试,求职,找工作,职业,实习,学习,职场,打卡挑战",209,职业职场,//i1.hdslb.com/bfs/archive/ff7a8eac5be41e735b669f9765930505cfe00e10.jpg,http://www.bilibili.com/video/av549970706,0,,False,执行力培训,1756708601
BV1hx4y147uj,1006367369,刘光耀10步高效执行力，有执行力只需10步，做到才能得到，让你干起来的干货,小书生分享,3461566034872735,002.刘光耀10步高效执行力,106:39,1723355681,0,8701,9,23,731,0,155,0,"学习,职场,执行力",209,职业职场,//i1.hdslb.com/bfs/archive/938c4fc82fbc6790de978fbc13a8254aef99e789.jpg,http://www.bilibili.com/video/av1006367369,0,,False,执行力培训,1756708601
BV1YXaEzrEhP,115127269461787,王文华《绝对执行-管理者高效执行力的四种途径》,王文华老师,1359657622,王文华老师17年企业中高层管理人才系统训练专家，擅长领域：MTP系列、团队管理，目标管理、领导力、执行力、有效沟通，非人等,11:18,1756702823,0,0,0,0,0,0,0,0,"教育,执行力,管理,企业管理,管理者",209,职业职场,//i0.hdslb.com/bfs/archive/e97d9a600c317941b2839b1d0553b70fad254700.jpg,http://www.bilibili.com/video/av115127269461787,0,,False,执行力培训,1756708601
BV1bK4y1W7Ae,886149324,执行力,bili_42721752996,507945508,"VCD
金洋说段子",198:15,1610450819,0,3018,0,2,132,0,8,0,"执行,执行力,职业,职场,心理,制度,绩效,商战",209,职业职场,//i2.hdslb.com/bfs/archive/a98885bec8a058480053e102438ed8f1050b1fd6.png,http://www.bilibili.com/video/av886149324,0,,False,执行力培训,1756708601
BV1f84y1q77M,604360813,高执行力团队打造part1,略略略0318,430849928,,35:33,1666334649,0,2576,0,0,107,0,14,0,执行力,209,职业职场,//i2.hdslb.com/bfs/archive/2a4e87dcd26e7fbff467486e5cb4ad35350ec393.jpg,http://www.bilibili.com/video/av604360813,0,,False,执行力培训,1756708601
BV1ob411T7kb,48887073,执行力提升(带字幕),Crix,169835,一个简单而好用的执行力提升模型,47:9,1554886000,0,6838,3,4,171,0,22,0,"学习,教育,课程,管理,执行力,讲座,团队建设,班组管理,制造现场管理,线上课堂",208,校园学习,//i0.hdslb.com/bfs/archive/f535de9ee73a475115f27a145f360e36118ab531.png,http://www.bilibili.com/video/av48887073,0,,False,执行力培训,1756708601
BV1174AeGExi,113248858800918,季益祥：行动教练，提高执行力，教练的核心作用有效反馈,小书生分享,3461566034872735,教练的有效反馈,232:15,1728040728,0,4926,0,5,307,0,44,0,"行动,教练,培训,执行力",209,职业职场,//i0.hdslb.com/bfs/archive/5c9516e406282ae1f2b5348b7ae45f0375f95ff5.png,http://www.bilibili.com/video/av113248858800918,0,,False,执行力培训,1756708601
BV11T421k73q,1706234769,职业素养提升系列——执行力提升指南：目标导向的行动策略,马上方,90631601,"公司培训课程，主要讲执行力，附带大量案例。结合现代心理学和古代历史典故，关注个人心理状态，提升执行力水平。
以上视频内容均为个人观点，不代表公司的意见和价值观。",70:20,1720867515,0,1221,0,0,85,0,12,0,"心理学,职场,自信,国学,历史典故,培训,执行力,目标感,多目标处理",209,职业职场,//i2.hdslb.com/bfs/archive/ef64654deb100c25a4034d828a78423395e06970.jpg,http://www.bilibili.com/video/av1706234769,0,,False,执行力培训,1756708601
BV1bdnRe2EwJ,113055333745316,高效执行力才是最终生产力,清晖知识分享官,1650043161,免费获取最新项目管理类备考资料,109:46,1725796856,0,2582,0,1,114,0,15,0,"高效,学习,职场,执行力,管理,生产力,项目管理,高效执行",209,职业职场,//i1.hdslb.com/bfs/archive/03f69697bc6062f6b1346ba0a19b1b3f439d2fca.png,http://www.bilibili.com/video/av113055333745316,0,,False,执行力培训,1756708601
BV1FS4y1w7sg,683547889,4.如何提高执行力-鲁召辉,勃-朗-宁,615148646,4.如何提高执行力-鲁召辉,40:1,1650915703,0,711,0,0,11,0,7,0,"记录,自制,生活,打卡挑战",21,日常,//i0.hdslb.com/bfs/archive/8386f495c22a40230f2d60d478fde3b29786f4a7.jpg,http://www.bilibili.com/video/av683547889,0,,False,执行力培训,1756708601
BV1KA411h7Zg,327581865,【学习】阳光心态与高效执行力（一）,一只数学老师,166555649,本视频仅供学习交流！,32:1,1585582325,0,3656,2,11,138,0,17,0,"教育,课程,学习,线上课堂",208,校园学习,//i2.hdslb.com/bfs/archive/a92260b5ae7c48e12841179ebd670810edf51cf1.jpg,http://www.bilibili.com/video/av327581865,0,,False,执行力培训,1756708601
BV1bQ4y187wo,705772408,如何拥有“圣人”般，恐怖的行动力，如利剑般执行！,一知君,1780540121,-王阳明,28:37,1699614018,0,2373627,8960,4528,184157,0,183935,0,"自律,专注,王阳明,自控力,自我提升,知行合一,行动力,阳明心学,个人成长,万物研究所,万物研究所·第11期",124,社科·法律·心理,//i1.hdslb.com/bfs/archive/07e844a1bbe31a8ff0389d493d107e1e53f82d68.jpg,http://www.bilibili.com/video/av705772408,0,,False,执行力培训,1756708601
BV1RP4y157FP,891728531,19.执行力从何来（上）,yzzzy,12157859,,23:4,1636698578,0,6612,3,1,253,0,27,0,企业管理,209,职业职场,//i0.hdslb.com/bfs/archive/b2d7cbc74b105891692ddd76fd47a2c5dcf5b23d.jpg,http://www.bilibili.com/video/av891728531,0,,False,执行力培训,1756708601
BV1Ja411K7o7,216710600,员工执行力培训课件PPT,wf0456,1730439686,需要做员工执行力培训的同学可以看看,8:18,1659764305,0,1638,0,4,86,0,15,0,"职场,执行力,执行力培训,员工执行力培训,员工培训",209,职业职场,//i0.hdslb.com/bfs/archive/e9144b195b8ad248c39c1d60eddfbc8bf46faa02.jpg,http://www.bilibili.com/video/av216710600,0,,False,执行力培训,1756708601
BV1T73zzeEEv,114808670131249,如何拥有完美的执行力,读行人生,515077537,-,16:20,1751841479,0,6415,0,2,386,0,197,0,"学习,曾国藩,郦波,执行力,必剪创作",21,日常,//i2.hdslb.com/bfs/archive/476ac4c78df6f26cc7ef0af99cb568aba0ace362.jpg,http://www.bilibili.com/video/av114808670131249,0,,False,执行力培训,1756708601
BV1kK4y1D7CM,929545059,【领导力讲座】变革时代领导力和执行力提升,晚上回家吗,25470806,领导力修炼，久久为功。中央党校刘志伟教授解读变革时代领导力和执行力提升。,86:20,1615259213,0,2686,0,0,148,0,11,0,"职言职语,人文,演讲,学习,公开课,讲座,领导",124,社科·法律·心理,//i0.hdslb.com/bfs/archive/f9e1e4a4f392bd6f19321e9ad465b6d562c7b4e7.jpg,http://www.bilibili.com/video/av929545059,0,,False,执行力培训,1756708601
