bvid,aid,title,author,mid,description,duration,pubdate,created,view,danmaku,reply,favorite,coin,like,share,tag,typeid,typename,pic,arcurl,pts,arcrank,badgepay,search_keyword,collected_at
BV1bQ4y187wo,705772408,如何拥有“圣人”般，恐怖的行动力，如利剑般执行！,一知君,1780540121,-王阳明,28:37,1699614018,0,2373629,8960,4528,184157,0,183935,0,"自律,专注,王阳明,自控力,自我提升,知行合一,行动力,阳明心学,个人成长,万物研究所,万物研究所·第11期",124,社科·法律·心理,//i1.hdslb.com/bfs/archive/07e844a1bbe31a8ff0389d493d107e1e53f82d68.jpg,http://www.bilibili.com/video/av705772408,0,,False,执行力差,1756708716
BV1iNe9zEEqh,115104569953481,低谷期低能量无痛邪修：一个让你逆转状态，回收执行力的顶级方法！(附操作文档)【开学第一课】,爱你的T酱,8188433,"这个方法多次在低谷期帮助我重新找回内心的秩序，也希望它能帮助更多有需要的人活出自己真正向往的样子，毫不费力的。请多多一键三连支持T酱 ❥(^_-)【T酱制作的方法论模板在置顶评论自取】本期点赞过两万，马上爆肝下一期，世界和我爱着你💗
参考资料：
斯蒂芬·盖斯. 弹性习惯. 湖南文艺出版社, 2021.
詹姆斯·克利尔. 掌控习惯. 北京联合出版公, 2019.
尼尔·菲奥里. 战胜拖拉. 东方出版社, 2008.",8:39,1756356795,0,379491,260,425,21842,0,16159,0,"学习,心理学,职场,情感,社交,自律,焦虑,心理分析,拖延,我的开学第一课",124,社科·法律·心理,//i2.hdslb.com/bfs/archive/28205cd58b99c14db35f47dea55bae9f10da35e5.jpg,http://www.bilibili.com/video/av115104569953481,0,,False,执行力差,1756708716
BV1PT421z7Ej,1706567791,如何拥有超强执行力？就靠3个字：不要脸！一个视频根治躺平、拖延、摆烂！,硬核学长2077,1195497797,"为什么你去做事，刚过3秒就想放弃？而高手却能像打游戏一样，如利剑般疯狂执行？
这个视频，就给你解释清楚。赶紧点赞收藏。
 
我们解决问题，一定要抓本质。
执行力=动力-阻力
人和人之间的动力，其实差别不大。
哪怕是最菜的学渣，都知道努力很重要。但就是不做。
所以，想提高执行力，靠增加动力是几乎没用的。关键是要减少阻力。
然而很多人，会太在意牛马眼中的面子，这不敢做，那怕丢脸，结果被同化成执行力低下的牛马。
正如鲁迅所说：“丢脸不多，执行越拖。脸皮越厚，更快学透。”
所以，练就超强执行力，就靠3个字：不要脸",13:4,1725076808,0,426928,655,1047,37515,0,23552,0,"大学,知识,高中,学习,心理学,自律,学习方法,校园学习,哔哩哔哩开学季,社科·法律·心理,UP！新学期",124,社科·法律·心理,//i1.hdslb.com/bfs/archive/781351456c9c8a0100ca6f219776cab7520b1f74.jpg,http://www.bilibili.com/video/av1706567791,0,,False,执行力差,1756708716
BV14nh9z4E4B,115111163332314,执行力差=大学废了？19岁准大学生自曝‘拖延癌晚期’！大冰叔：别慌！先做这三件事,大冰直播日记,1894498722,,19:29,1756472400,0,340,1,0,23,0,12,0,"校园,大学,大学生,社交,大冰,拖延癌晚期,准大学生,大冰老师,社会观察局,学业平衡",21,日常,//i1.hdslb.com/bfs/archive/624d2e97a122492cf4c5e8c6a24702cfaae51a95.jpg,http://www.bilibili.com/video/av115111163332314,0,,False,执行力差,1756708716
BV1H5toz7EEU,115014962779652,如何拥有人最顶级的天赋，疯狂的执行力！,记忆宫殿宁梓亦,129860965,-,14:40,1754989318,0,47468,121,66,8585,0,4678,0,"励志,人生,努力,大学生,自律,年轻人,方法论,执行力,原生家庭,唠点心理话",124,社科·法律·心理,//i1.hdslb.com/bfs/archive/2a4eaa5587b7ba94487cbe862406ad5677fa52aa.jpg,http://www.bilibili.com/video/av115014962779652,0,,False,执行力差,1756708716
BV1Vw411w7PR,277307322,【执行力】是个人成功的元能力，但执行力无解,咪惹说,353996617,,11:48,1697619600,0,253164,1008,1134,26741,0,31153,0,"懒惰,拖延症,认知,执行力",124,社科·法律·心理,//i1.hdslb.com/bfs/archive/0dd2a1078c3e0214255f751f99274eccae8fbac6.jpg,http://www.bilibili.com/video/av277307322,0,,False,执行力差,1756708716
BV1dbdxY5Egh,114303071951057,没有恐怖执行力，永远都要被社会毒打,元恒启示录,3546614339733995,世界上只有一种东西可以让每一个人都逆袭。那就是让一个人的执行力，像打麻将的瘾那么大，像玩游戏的瘾那么大，废寝忘食的打，没日没夜的打。一个人要是干正经事能干到这种地步，他就算不成功，也一定是人中龙凤。,18:35,1744126772,0,32243,26,42,2599,0,1076,0,"逆袭,自律,执行力,心法,自我提升,天涯神贴,强者思维,我的修行笔记",124,社科·法律·心理,//i0.hdslb.com/bfs/archive/cc16db8ff8bf8008e321df1fd3bafa738c3626a8.jpg,http://www.bilibili.com/video/av114303071951057,0,,False,执行力差,1756708716
BV1yM4m1z78B,1305347752,一个视频彻彻底底的改变你的拖延症！让你执行力爆表,彭酱酱LINYA,332432527,"兄得们太久不见了！！老酱最近回国啦，这一阵子工作太忙了，导致长视频都没时间剪了，只能剪剪短视频发到隔壁。以后你们也想看短视频的话，我也发到这儿来？

先发个干货！拖延症这个问题从大二就开始严重困扰我，也导致我错失了一些机会。这期视频老酱彻彻底底地给大家讲下拖延病各种解决方法。因人而异！

高考的同学们都加油！！！！",13:31,1717226998,0,803842,6486,1021,36226,0,34734,0,"搞笑,学习,心理,工作,拖延症,自律,干货,考研,学习方法,2024高考季",208,校园学习,//i0.hdslb.com/bfs/archive/0fe74133c75dabf795366973aab2df3b57988b22.jpg,http://www.bilibili.com/video/av1305347752,0,,False,执行力差,1756708716
BV1DZ421T7DB,1156308096,正在清醒地堕落怎么办？get超强执行力！！,张三三-,293281448,-,3:58,1721383917,0,93647,58,311,6020,0,9018,0,"心理,拖延症,自律,执行力,学习方法,拖延,行动力,自律指南",208,校园学习,//i2.hdslb.com/bfs/archive/d3187065590102b7ce8e120a67584293e0f4c35e.jpg,http://www.bilibili.com/video/av1156308096,0,,False,执行力差,1756708716
BV111JxzjETP,114555233572273,28岁女生待业在家，不想工作，执行力太差怎么办,大冰聊天精选,3546891952327550,-,13:39,1747974353,0,88824,172,319,4597,0,2992,0,"生活,心理,工作,职业,职场,社会,上班,唠嗑,大冰,哔须有此行,五一哔须有此行",138,搞笑,//i2.hdslb.com/bfs/archive/dac9d8153cc938797188c91f76972f0ed130119e.jpg,http://www.bilibili.com/video/av114555233572273,0,,False,执行力差,1756708716
