bvid,aid,title,author,mid,description,duration,pubdate,created,view,danmaku,reply,favorite,coin,like,share,tag,typeid,typename,pic,arcurl,pts,arcrank,badgepay,search_keyword,collected_at
BV1bQ4y187wo,705772408,如何拥有“圣人”般，恐怖的行动力，如利剑般执行！,一知君,1780540121,-王阳明,28:37,1699614018,0,2373629,8960,4528,184157,0,183935,0,"自律,专注,王阳明,自控力,自我提升,知行合一,行动力,阳明心学,个人成长,万物研究所,万物研究所·第11期",124,社科·法律·心理,//i1.hdslb.com/bfs/archive/07e844a1bbe31a8ff0389d493d107e1e53f82d68.jpg,http://www.bilibili.com/video/av705772408,0,,False,执行力强,1756708746
BV1QCbZzgEdv,114901028773453,01清华女博｜强女思维：培养恐怖执行力,晴山啊,373106885,"大部分人都把问题想复杂了
这个世界的底层逻辑其实非常简单
没有任何人比你聪明，你不需要崇拜任何人
人跟人唯一的差距就是执行力
厉害的女孩都有一个共性
那就是有了目标之后
不犹豫、不等待、执行力超强
效果不好就复盘优化
效果好就乘胜追击，不断深耕
	
我做任何事之前都会启动下面这套方法
目标量化﻿﻿
目标显化﻿﻿
3秒启动﻿﻿
5分钟法﻿﻿",2:38,1753263000,0,139210,51,235,15919,0,16739,0,"大学生,拖延症,执行力,自我提升,学习经验",21,日常,//i2.hdslb.com/bfs/archive/44d60556c79fcb6af376e068d17cc5ec15975902.jpg,http://www.bilibili.com/video/av114901028773453,0,,False,执行力强,1756708746
BV1Hb42177MY,1806475831,执行力强和弱的人，就像两个物种,傻白在美国,1373230511,,4:54,1722772800,0,49371,36,76,4319,0,2788,0,"学习,执行力,干货分享,能力提升",124,社科·法律·心理,//i0.hdslb.com/bfs/archive/d1665df4b3c823df1e8146076e5a8e4ff3a7bd2e.jpg,http://www.bilibili.com/video/av1806475831,0,,False,执行力强,1756708746
BV1Vw411w7PR,277307322,【执行力】是个人成功的元能力，但执行力无解,咪惹说,353996617,,11:48,1697619600,0,253164,1008,1134,26741,0,31153,0,"懒惰,拖延症,认知,执行力",124,社科·法律·心理,//i1.hdslb.com/bfs/archive/0dd2a1078c3e0214255f751f99274eccae8fbac6.jpg,http://www.bilibili.com/video/av277307322,0,,False,执行力强,1756708746
BV1H5toz7EEU,115014962779652,如何拥有人最顶级的天赋，疯狂的执行力！,记忆宫殿宁梓亦,129860965,-,14:40,1754989318,0,47468,121,66,8585,0,4678,0,"励志,人生,努力,大学生,自律,年轻人,方法论,执行力,原生家庭,唠点心理话",124,社科·法律·心理,//i1.hdslb.com/bfs/archive/2a4eaa5587b7ba94487cbe862406ad5677fa52aa.jpg,http://www.bilibili.com/video/av115014962779652,0,,False,执行力强,1756708746
BV1YXaEzrEhP,115127269461787,王文华《绝对执行-管理者高效执行力的四种途径》,王文华老师,1359657622,王文华老师17年企业中高层管理人才系统训练专家，擅长领域：MTP系列、团队管理，目标管理、领导力、执行力、有效沟通，非人等,11:18,1756702823,0,0,0,0,0,0,0,0,"教育,执行力,管理,企业管理,管理者",209,职业职场,//i0.hdslb.com/bfs/archive/e97d9a600c317941b2839b1d0553b70fad254700.jpg,http://www.bilibili.com/video/av115127269461787,0,,False,执行力强,1756708746
BV19XaEzrEyZ,115127269523821,王文华-《绝对执行-管理者高效执行力的四种途径》,王文华老师,1359657622,王文华-《绝对执行-管理者高效执行力的四种途径》#执行力,11:18,1756703091,0,0,0,0,0,0,0,0,"领导力,执行力,团队管理,中层管理",209,职业职场,//i0.hdslb.com/bfs/archive/a2a2dbdd96965bcbbcde6e944d3a0bdd77ebff05.jpg,http://www.bilibili.com/video/av115127269523821,0,,False,执行力强,1756708746
BV1PT421z7Ej,1706567791,如何拥有超强执行力？就靠3个字：不要脸！一个视频根治躺平、拖延、摆烂！,硬核学长2077,1195497797,"为什么你去做事，刚过3秒就想放弃？而高手却能像打游戏一样，如利剑般疯狂执行？
这个视频，就给你解释清楚。赶紧点赞收藏。
 
我们解决问题，一定要抓本质。
执行力=动力-阻力
人和人之间的动力，其实差别不大。
哪怕是最菜的学渣，都知道努力很重要。但就是不做。
所以，想提高执行力，靠增加动力是几乎没用的。关键是要减少阻力。
然而很多人，会太在意牛马眼中的面子，这不敢做，那怕丢脸，结果被同化成执行力低下的牛马。
正如鲁迅所说：“丢脸不多，执行越拖。脸皮越厚，更快学透。”
所以，练就超强执行力，就靠3个字：不要脸",13:4,1725076808,0,426929,655,1047,37515,0,23552,0,"大学,知识,高中,学习,心理学,自律,学习方法,校园学习,哔哩哔哩开学季,社科·法律·心理,UP！新学期",124,社科·法律·心理,//i1.hdslb.com/bfs/archive/781351456c9c8a0100ca6f219776cab7520b1f74.jpg,http://www.bilibili.com/video/av1706567791,0,,False,执行力强,1756708746
BV19PefzWE3v,115090493806451,自律真相：成功者从不&quot;强迫自己&quot;，热爱过程才是终极竞争力,积每步至万里,672530767,你是否总在强迫自己坚持却屡屡失败？成功者的核心秘密并非苦行僧式的自律，而是将痛苦转化为动力的认知重构。本片揭示99%人误解的真相：真正的纪律性源于身份认同，而非意志力消耗。当你用厌恶清单唤醒改变决心，借环境设计重塑行为模式，让艰难目标成为生存本能时，那些看似痛苦的事（健身/学习/创业）将转化为自动运行的人生程序。深度解析如何利用林波期进行自我实验，通过多巴胺反馈循环打破平庸循环，在36个月黄金窗口期完成人生进化。,27:0,1756162800,0,508,0,0,75,0,19,0,"成长,逆袭,自律,认知,执行力",21,日常,//i1.hdslb.com/bfs/archive/16eb846877b69e7bcb873c30a0084677393d3816.jpg,http://www.bilibili.com/video/av115090493806451,0,,False,执行力强,1756708746
BV1NktnzpExe,114975284663396,你这辈子最大的贵人，是执行力超强的自己！,记忆宫殿宁梓亦,129860965,-,12:22,1754384084,0,26286,55,59,3769,0,2360,0,"励志,人生,大学生,自律,年轻人,思维,方法论,执行力,原生家庭,唠点心理话",208,校园学习,//i0.hdslb.com/bfs/archive/bbf931bebc3e849383d6d93a15199008a125eeae.jpg,http://www.bilibili.com/video/av114975284663396,0,,False,执行力强,1756708746
