bvid,aid,title,author,mid,description,duration,pubdate,created,view,danmaku,reply,favorite,coin,like,share,tag,typeid,typename,pic,arcurl,pts,arcrank,badgepay,search_keyword,collected_at
BV1YXaEzrEhP,115127269461787,王文华《绝对执行-管理者高效执行力的四种途径》,王文华老师,1359657622,王文华老师17年企业中高层管理人才系统训练专家，擅长领域：MTP系列、团队管理，目标管理、领导力、执行力、有效沟通，非人等,11:18,1756702823,0,0,0,0,0,0,0,0,"教育,执行力,管理,企业管理,管理者",209,职业职场,//i0.hdslb.com/bfs/archive/e97d9a600c317941b2839b1d0553b70fad254700.jpg,http://www.bilibili.com/video/av115127269461787,0,,False,执行力管理,1756708629
BV19XaEzrEyZ,115127269523821,王文华-《绝对执行-管理者高效执行力的四种途径》,王文华老师,1359657622,王文华-《绝对执行-管理者高效执行力的四种途径》#执行力,11:18,1756703091,0,0,0,0,0,0,0,0,"领导力,执行力,团队管理,中层管理",209,职业职场,//i0.hdslb.com/bfs/archive/a2a2dbdd96965bcbbcde6e944d3a0bdd77ebff05.jpg,http://www.bilibili.com/video/av115127269523821,0,,False,执行力管理,1756708629
BV1hx4y147uj,1006367369,刘光耀10步高效执行力，有执行力只需10步，做到才能得到，让你干起来的干货,小书生分享,3461566034872735,002.刘光耀10步高效执行力,106:39,1723355681,0,8701,9,23,731,0,155,0,"学习,职场,执行力",209,职业职场,//i1.hdslb.com/bfs/archive/938c4fc82fbc6790de978fbc13a8254aef99e789.jpg,http://www.bilibili.com/video/av1006367369,0,,False,执行力管理,1756708629
BV1rReheKEuH,112846138509476,管理 李践高效人士.五项管理《行动日志》,梧桐树下look梧桐,443052210,管理 李践高效人士.五项管理《行动日志》,154:40,1721896191,0,2096,3,5,86,0,15,0,"学习,管理,亿轮",209,职业职场,//i1.hdslb.com/bfs/archive/f348a44d8060c865b512d42779b7d42e0f722c1b.jpg,http://www.bilibili.com/video/av112846138509476,0,,False,执行力管理,1756708629
BV1B4hizbEka,115117958110246,提升执行力的终极法则:负熵效应,情绪心理百科,668132250,-,2:15,1756560711,0,178,0,0,5,0,4,0,"学习,心理学,思维,执行力,管理,低能量",21,日常,//i0.hdslb.com/bfs/archive/62c3473106caa5aea54f916228c4c61951273dd5.jpg,http://www.bilibili.com/video/av115117958110246,0,,False,执行力管理,1756708629
BV1ZfetzLEVU,115070998677458,项目管理的底层逻辑：不是做事，而是构建系统，如何构建你的项目管理知识体系？,清晖Drina,1231093606,"👇1V1课程规划咨询，力口偶qhclass2019，批注【小破站88】
✅ 项目管理的三大底层逻辑：目标驱动、系统协同、闭环控制
✅ 如何构建属于你自己的“项目管理思维框架”？",92:44,1756295700,0,314,0,1,35,0,7,0,"学习,思维,PMP,管理,管理思维,底层逻辑,体系化思维",209,职业职场,//i2.hdslb.com/bfs/archive/f165280230aac531e75aeae29ffe47ad5b59ba80.jpg,http://www.bilibili.com/video/av115070998677458,0,,False,执行力管理,1756708629
BV1e3TuzHE2y,114636384898178,章义伍执行力从何来21·有效执行7步骤,小书生资料库,3546555332168026,21·有效执行7步骤,37:0,1749213502,0,612,0,0,37,0,9,0,"职场,执行力,管理",209,职业职场,//i0.hdslb.com/bfs/archive/696f3f7a8f07dcf7c2aafb94ceab6ed98648c0bf.png,http://www.bilibili.com/video/av114636384898178,0,,False,执行力管理,1756708629
BV1Yoegz9Ecj,115060361987585,90%的新晋管理都栽在这！SOP思维让你效率翻倍，轻松拿捏团队,清晖小野学管理,3461577399339630,免费获取最新项目管理工具模板、提升自身管理能力，加W：qh202522，备注777,98:21,1755778680,0,460,0,1,48,0,6,0,"领导力,项目管理,能力提升,项目经理",209,职业职场,//i0.hdslb.com/bfs/archive/ad96fe15349d41fe67b1b87513c9974f082923e9.jpg,http://www.bilibili.com/video/av115060361987585,0,,False,执行力管理,1756708629
BV1jbenz9EZU,115084236034148,【领导力的逻辑】1. 领导能力五力模型,哔哩大学-,3493288074021457,,120:16,1756167600,0,195,0,0,9,0,4,0,"模型,能力,公开课,清华大学,领导力,逻辑,管理,企业管理,项目管理,管理思维",207,财经商业,//i1.hdslb.com/bfs/archive/b1680501b564f7020235639b53f4e34a64373cef.jpg,http://www.bilibili.com/video/av115084236034148,0,,False,执行力管理,1756708629
BV1iNe9zEEqh,115104569953481,低谷期低能量无痛邪修：一个让你逆转状态，回收执行力的顶级方法！(附操作文档)【开学第一课】,爱你的T酱,8188433,"这个方法多次在低谷期帮助我重新找回内心的秩序，也希望它能帮助更多有需要的人活出自己真正向往的样子，毫不费力的。请多多一键三连支持T酱 ❥(^_-)【T酱制作的方法论模板在置顶评论自取】本期点赞过两万，马上爆肝下一期，世界和我爱着你💗
参考资料：
斯蒂芬·盖斯. 弹性习惯. 湖南文艺出版社, 2021.
詹姆斯·克利尔. 掌控习惯. 北京联合出版公, 2019.
尼尔·菲奥里. 战胜拖拉. 东方出版社, 2008.",8:39,1756356795,0,379476,260,425,21839,0,16157,0,"学习,心理学,职场,情感,社交,自律,焦虑,心理分析,拖延,我的开学第一课",124,社科·法律·心理,//i2.hdslb.com/bfs/archive/28205cd58b99c14db35f47dea55bae9f10da35e5.jpg,http://www.bilibili.com/video/av115104569953481,0,,False,执行力管理,1756708629
