bvid,aid,title,author,mid,description,duration,pubdate,created,view,danmaku,reply,favorite,coin,like,share,tag,typeid,typename,pic,arcurl,pts,arcrank,badgepay,search_keyword,collected_at
BV1MEXLYhEma,114183433623616,戴鹏民诉-执行程序总结,欠下巨额flag,502419066,-,24:58,1742301441,0,2373,0,2,101,0,37,0,"学习,课程,法考",21,日常,//i2.hdslb.com/bfs/archive/4cebf17710d1a0af962e4706a880e8ad62eca976.jpg,http://www.bilibili.com/video/av114183433623616,0,,False,执行技巧,1756708949
BV1dzK6zzEr5,114755184369213,法考  民诉法 执行程序 执行程序小结，知识点总结,柳柳妹子,1299793851,-,37:23,1751025415,0,1279,0,0,52,0,21,0,"程序,民诉,小结,法考,执行程序,必剪创作",124,社科·法律·心理,//i1.hdslb.com/bfs/archive/49ea315e2652ef08aaf623898b49961c7e1b34b3.jpg,http://www.bilibili.com/video/av114755184369213,0,,False,执行技巧,1756708949
BV1gTeezjExL,115075880981290,一个让你拥有恐怖执行力的顶级思维，「当一个时间赌徒」,向上的金临,527146075,-,3:2,1755918666,0,963,0,0,93,0,25,0,"成长,心理,思维,经验分享,执行力,提升,赌徒,拖延,底层逻辑,顶级思维",21,日常,//i2.hdslb.com/bfs/archive/5c0f56764c124a5e8825ea7f65bc4f6b76ad350d.jpg,http://www.bilibili.com/video/av115075880981290,0,,False,执行技巧,1756708949
BV19wpWeuEQx,113111151480702,【法律实务公开课】律师办理保全与执行案件实操指引,资源之家,503860886,内容来源于网络，用于自学自用，如有侵权，请联系删除！,720:40,1725939698,0,73042,30,98,4597,0,828,0,"法律,学习,公开课,律师,企业,法院,实务,劳动关系,法律实务",124,社科·法律·心理,//i0.hdslb.com/bfs/archive/026995701bf672bf0c1d8b76056adbc9bd7d168b.png,http://www.bilibili.com/video/av113111151480702,0,,False,执行技巧,1756708949
BV17sZbYaEVv,114261447673995,如何提高团队执行力？,夏鹏本鹏,3546800797518640,"如何提升团队的执行力？今天夏老师用RACI法则帮助你带领团队

了解更多内容请复制🔗到浏览器打开
https://c0bl0fh66a0.feishu.cn/docx/POpZdtV95oaITIxxvcYc0gVHn7c‌﻿‬",12:20,1743505200,0,25730,6,23,1208,0,640,0,"职场,团队,执行力,管理,企业管理,夏鹏",209,职业职场,//i2.hdslb.com/bfs/archive/4969fb75181e9def242c0eebd6dd3e30fbbaacc8.jpg,http://www.bilibili.com/video/av114261447673995,0,,False,执行技巧,1756708949
BV1bQ4y187wo,705772408,如何拥有“圣人”般，恐怖的行动力，如利剑般执行！,一知君,1780540121,-王阳明,28:37,1699614018,0,2373631,8960,4528,184157,0,183935,0,"自律,专注,王阳明,自控力,自我提升,知行合一,行动力,阳明心学,个人成长,万物研究所,万物研究所·第11期",124,社科·法律·心理,//i1.hdslb.com/bfs/archive/07e844a1bbe31a8ff0389d493d107e1e53f82d68.jpg,http://www.bilibili.com/video/av705772408,0,,False,执行技巧,1756708949
BV1npu1zqE3Z,114874101271453,无痛执行计划的小技巧,李丽莎的生活,621078112,,7:42,1752840108,0,25748,48,57,1402,0,3515,0,"计划,科普,学习,工作,职场,小技巧,一人分饰多角,生活小妙招,UP！小剧场   暑期档ACTION！",209,职业职场,//i2.hdslb.com/bfs/archive/49e4187eeb14a917e802447aa4b08805dabb831f.jpg,http://www.bilibili.com/video/av114874101271453,0,,False,执行技巧,1756708949
BV1iNe9zEEqh,115104569953481,低谷期低能量无痛邪修：一个让你逆转状态，回收执行力的顶级方法！(附操作文档)【开学第一课】,爱你的T酱,8188433,"这个方法多次在低谷期帮助我重新找回内心的秩序，也希望它能帮助更多有需要的人活出自己真正向往的样子，毫不费力的。请多多一键三连支持T酱 ❥(^_-)【T酱制作的方法论模板在置顶评论自取】本期点赞过两万，马上爆肝下一期，世界和我爱着你💗
参考资料：
斯蒂芬·盖斯. 弹性习惯. 湖南文艺出版社, 2021.
詹姆斯·克利尔. 掌控习惯. 北京联合出版公, 2019.
尼尔·菲奥里. 战胜拖拉. 东方出版社, 2008.",8:39,1756356795,0,379555,260,425,21845,0,16161,0,"学习,心理学,职场,情感,社交,自律,焦虑,心理分析,拖延,我的开学第一课",124,社科·法律·心理,//i2.hdslb.com/bfs/archive/28205cd58b99c14db35f47dea55bae9f10da35e5.jpg,http://www.bilibili.com/video/av115104569953481,0,,False,执行技巧,1756708949
BV1Ti4y1o7zu,549970706,提高执行力的四把钥匙,一坛酒话,541618061,"https://www.jinengjingsai.com/
执行力的四把钥匙",19:16,1639638213,0,16271,11,1,520,0,102,0,"面试,求职,找工作,职业,实习,学习,职场,打卡挑战",209,职业职场,//i1.hdslb.com/bfs/archive/ff7a8eac5be41e735b669f9765930505cfe00e10.jpg,http://www.bilibili.com/video/av549970706,0,,False,执行技巧,1756708949
BV1vH4y1Z7yW,961731542,前法官精讲——执行案件全流程实务解析,熊二讲堂,3546388302399907,more法律实务和书籍嘉v：1145447682,285:28,1696174002,0,25607,21,27,2514,0,452,0,"法律,学习,律师,普法,法律实务,青年律师,执行案件",124,社科·法律·心理,//i1.hdslb.com/bfs/archive/09fc991e0011bf9b018b677108dbcdee7a5b2dfa.png,http://www.bilibili.com/video/av961731542,0,,False,执行技巧,1756708949
BV1FiV9zvELL,114480407122030,加工中心在中间段执行程序的操作方法，适合新手来快速掌握操作技巧,杨树干机械,3546884807330782,-,4:19,1746832931,0,3043,0,10,144,0,103,0,宝藏知识UP跃迁计划,21,日常,//i1.hdslb.com/bfs/archive/a11b6a7d959d6f023978c2302fe5d80dc3e9b3b8.jpg,http://www.bilibili.com/video/av114480407122030,0,,False,执行技巧,1756708949
BV1SfeJzVEpc,115084571446958,执行部分结束！民诉暑期带背第56天~执行竞合与终止本次执行,民诉韩心怡,514931238,多做题多总结，我们一定没有问题~,3:45,1756077600,0,2016,1,6,19,0,48,0,"考试,学习,法学,民诉,法考,法考客观题,暑期带背,卷二总动员",124,社科·法律·心理,//i0.hdslb.com/bfs/archive/dd447c12411e1fd1049ec388528c9172254fd307.jpg,http://www.bilibili.com/video/av115084571446958,0,,False,执行技巧,1756708949
BV1aQQXYzEni,114187040725164,第七讲 到期债权的执行技巧和实务应对,俺就是女王自信放光芒,66699583,谷歌,44:42,1742356469,0,132,0,0,13,0,0,0,"技巧,实务,债权",124,社科·法律·心理,//i1.hdslb.com/bfs/archive/4be80a4b19b602bb0f0dfb0d0dc9e1a83d3562bf.jpg,http://www.bilibili.com/video/av114187040725164,0,,False,执行技巧,1756708949
BV1j7Y9zjET1,115067005701833,超级超级重要🌿民诉带背第53天——执行异议,民诉韩心怡,514931238,一定要搞懂一定要搞懂一定要搞懂！,4:50,1755818400,0,2662,0,10,41,0,116,0,"考试,学习,法学,民诉,法考,法考客观题,暑期带背,卷二总动员",124,社科·法律·心理,//i2.hdslb.com/bfs/archive/f4df02b66c6badb5e97f35c6355b781d0c21c4a9.jpg,http://www.bilibili.com/video/av115067005701833,0,,False,执行技巧,1756708949
BV1J94y1s72d,363581103,张进德：“民事执行八讲”名师亲授 律师实务大课,熊二讲堂,3546388302399907,more法律资料加V：1145447682,933:13,1695040428,0,32502,74,23,2374,0,357,0,"法律,律师,名师,民法典,律师实务,民事执行,青年律师",124,社科·法律·心理,//i0.hdslb.com/bfs/archive/b6788572c14ddff8d6b43f01f1d2e0efcac4cb8e.png,http://www.bilibili.com/video/av363581103,0,,False,执行技巧,1756708949
BV1Ed4y1d7d5,387346137,【影刀RPA实战技巧】08 应用执行篇,影刀RPA,393215006,"企业版免费试用申请：https://ying-dao.feishu.cn/share/base/form/shrcnhAcnPkKTixfcWiVjqQ2uFh
加入RPA学习群：https://mp.weixin.qq.com/s/5BLHkJq6Tk4Z-XxLtsjXOw",16:56,1661132533,0,4696,0,9,39,0,20,0,"影刀,RPA,办公流程自动化,自动化",208,校园学习,//i2.hdslb.com/bfs/archive/92dad9fd45c2c4ef6c0d224cc17349dbda85520e.png,http://www.bilibili.com/video/av387346137,0,,False,执行技巧,1756708949
