bvid,aid,title,author,mid,description,duration,pubdate,created,view,danmaku,reply,favorite,coin,like,share,tag,typeid,typename,pic,arcurl,pts,arcrank,badgepay,search_keyword,collected_at
BV1MEXLYhEma,114183433623616,戴鹏民诉-执行程序总结,欠下巨额flag,502419066,-,24:58,1742301441,0,2373,0,2,101,0,37,0,"学习,课程,法考",21,日常,//i2.hdslb.com/bfs/archive/4cebf17710d1a0af962e4706a880e8ad62eca976.jpg,http://www.bilibili.com/video/av114183433623616,0,,False,执行文化,1756708977
BV19wpWeuEQx,113111151480702,【法律实务公开课】律师办理保全与执行案件实操指引,资源之家,503860886,内容来源于网络，用于自学自用，如有侵权，请联系删除！,720:40,1725939698,0,73042,30,98,4597,0,828,0,"法律,学习,公开课,律师,企业,法院,实务,劳动关系,法律实务",124,社科·法律·心理,//i0.hdslb.com/bfs/archive/026995701bf672bf0c1d8b76056adbc9bd7d168b.png,http://www.bilibili.com/video/av113111151480702,0,,False,执行文化,1756708977
BV1bQ4y187wo,705772408,如何拥有“圣人”般，恐怖的行动力，如利剑般执行！,一知君,1780540121,-王阳明,28:37,1699614018,0,2373631,8960,4528,184157,0,183935,0,"自律,专注,王阳明,自控力,自我提升,知行合一,行动力,阳明心学,个人成长,万物研究所,万物研究所·第11期",124,社科·法律·心理,//i1.hdslb.com/bfs/archive/07e844a1bbe31a8ff0389d493d107e1e53f82d68.jpg,http://www.bilibili.com/video/av705772408,0,,False,执行文化,1756708977
BV1J8hQzkEyh,115109955373147,7、杨剑：执行碳排放权的研究与实务——破局“执行难”盈科执行讲师团相约周三,法律名家讲堂,543791136,7、杨剑：执行碳排放权的研究与实务——破局“执行难”盈科执行讲师团相约周三,22:30,1756438811,0,38,0,1,0,0,0,0,"执行,执行难,执行人,法律课程,执行案件,法律直播,万物研究所",209,职业职场,//i0.hdslb.com/bfs/archive/be02bf3aed274dc0820f66e4651ccbfa654182df.jpg,http://www.bilibili.com/video/av115109955373147,0,,False,执行文化,1756708977
BV12gEvzMEsN,114504029509042,[全4期]李军：『执行三板斧』实务操作课 #李军课程合集,法学无边薇kwd813,3546681081596398,"视频随时会删，更多课看祝、业、详~~情~~
李军:[执行三板斧]，实务操作课
李军:国企合规管理实务指南(23年国企改革业务专家精讲)
李军:新《公司法》与新一轮国企改革实务精讲
李军:新公司法实施下，国有企业治理核心要点突破
李军:执行捍卫战--主动出击实战指南
李军:执行行为异议及执行标的异议实操全解
侯志涛、李军、李硕联袂:追加被执行人与财产查找全攻略
声明：资源收集于网络，仅用于试学及购买课程之参考，切勿用于其他用途！如若侵权，请留言告知删除，谢谢！投稿为自制是为了防止二次搬运添加水印，敬请理解。",57:7,1747203000,0,3268,9,1,197,0,49,0,"视频教程,详解,模块",124,社科·法律·心理,//i2.hdslb.com/bfs/archive/02e78cf6d10c729bda183ada9ab264c4398b78c1.jpg,http://www.bilibili.com/video/av114504029509042,0,,False,执行文化,1756708977
BV1c3eqzgEV6,115076283503590,【2025最新】侯志涛 ：诉讼与执行案件中查找财产线索地图侯志涛_执行案件实务操作技能训练营 侯志涛：拒不执行判决、裁定罪在执行案件应用的难点,欺负vqah,3546917367712466,【2025最新】侯志涛 ：诉讼与执行案件中查找财产线索地图侯志涛_执行案件实务操作技能训练营 侯志涛：拒不执行判决、裁定罪在执行案件应用的难点,895:32,1755925783,0,282,0,0,29,0,10,0,"法律,地图,技能,案件,训练营,线索,财产,法学,实务,执行案件",208,校园学习,//i1.hdslb.com/bfs/archive/63329781e1ba0f235587b17f9144108775acb556.jpg,http://www.bilibili.com/video/av115076283503590,0,,False,执行文化,1756708977
BV16E411A7iG,97941461,执行实务10讲：破解执行案件的操作难题,bili_63870440944,521207252,吴珲律师将结合多年的审判及执业经验，为大家重点讲解执行实务中的强制执行措施、执行和解、执行担保、追加被执行人、司法拍卖、案款分配等问题。,63:46,1584795334,0,15298,6,13,767,0,88,0,学习,85,小剧场,//i2.hdslb.com/bfs/archive/50b23a8e2ca0a59873c2c1440dc0ff134a566a05.jpg,http://www.bilibili.com/video/av97941461,0,,False,执行文化,1756708977
BV1UxYfzLEdF,115070411477691,【法律公开课】追加被执行人与财产查找全攻略（完整带课件）,资源之家,503860886,资源来源网络素材，仅取资源整理的人力成本，资源本身免费分享，若有不当，联系侵删！！！,251:45,1756003560,0,472,0,0,94,0,13,0,"教育,法律,学习,公开课,全攻略,课程,课件,财产,实务",124,社科·法律·心理,//i1.hdslb.com/bfs/archive/6715890b8046f2182eb57132746c00d95efbf073.jpg,http://www.bilibili.com/video/av115070411477691,0,,False,执行文化,1756708977
BV1J94y1s72d,363581103,张进德：“民事执行八讲”名师亲授 律师实务大课,熊二讲堂,3546388302399907,more法律资料加V：1145447682,933:13,1695040428,0,32502,74,23,2374,0,357,0,"法律,律师,名师,民法典,律师实务,民事执行,青年律师",124,社科·法律·心理,//i0.hdslb.com/bfs/archive/b6788572c14ddff8d6b43f01f1d2e0efcac4cb8e.png,http://www.bilibili.com/video/av363581103,0,,False,执行文化,1756708977
BV1mh411B7Pd,207334117,许林芳-阿里巴巴的文化构建与落地。企业内文化的建设。,还有多少个365天,523111233,-,262:1,1629019809,0,42925,27,26,2808,0,400,0,"打卡挑战,创业,阿里巴巴管理,管理,企业文化建设,企业价值观提炼",209,职业职场,//i1.hdslb.com/bfs/archive/9da9468c362207451e769e86b0019ea002c50a9d.jpg,http://www.bilibili.com/video/av207334117,0,,False,执行文化,1756708977
BV1oj411275h,447935957,【法学】民事执行法理论与实务专题,丶姜逍遥,668692213,,1619:30,1693491668,0,3237,0,3,216,0,35,0,"法律,专题,理论,法学,民事执行",228,人文历史,//i1.hdslb.com/bfs/archive/d7e341e899dcbfe53438cf002a1f3eb81e4e99db.jpg,http://www.bilibili.com/video/av447935957,0,,False,执行文化,1756708977
BV1wWk1YVE2E,113683824906783,被执行人闭门不出，执行法官翻墙堵人,cctv热线12,123996559,,11:7,1734677987,0,166407,6,10,1563,0,715,0,"律师,法官,案件,民法典,失信被执行",124,社科·法律·心理,//i1.hdslb.com/bfs/archive/d54e808ac2157e25a022d4dd59992e5143e44397.jpg,http://www.bilibili.com/video/av113683824906783,0,,False,执行文化,1756708977
BV1yw4m1R758,1101966374,法治短剧：女子被执行前换上家属送来的衣服，漂漂亮亮的踏入了刑场。 远离犯罪,蝴蝶与鲸鱼9955,1067235082,,10:41,1710607587,0,76142,5,24,611,0,156,0,"短剧,犯罪,社会,微电影,法治,影视神仙剪刀手,神仙剪刀手3.0",183,影视剪辑,//i2.hdslb.com/bfs/archive/c6f470e1eac2113b09cd9528800b5bbbf7026450.png,http://www.bilibili.com/video/av1101966374,0,,False,执行文化,1756708977
BV1xS421o7GV,1505986394,民事执行法律实务八讲,陌路陌路law,250671336,民事执行法律实务八讲,916:59,1718718006,0,12520,20,29,1208,0,202,0,"法律,学习,律师,课程,合同,法学,实务,创收,民事,法律实务",124,社科·法律·心理,//i1.hdslb.com/bfs/archive/9fa36b3527b47a2ae736e1051510d14ea6723d24.png,http://www.bilibili.com/video/av1505986394,0,,False,执行文化,1756708977
BV1vH4y1Z7yW,961731542,前法官精讲——执行案件全流程实务解析,熊二讲堂,3546388302399907,more法律实务和书籍嘉v：1145447682,285:28,1696174002,0,25607,21,27,2514,0,452,0,"法律,学习,律师,普法,法律实务,青年律师,执行案件",124,社科·法律·心理,//i1.hdslb.com/bfs/archive/09fc991e0011bf9b018b677108dbcdee7a5b2dfa.png,http://www.bilibili.com/video/av961731542,0,,False,执行文化,1756708977
BV1Em4y1r79Q,696731609,不是老赖的老赖，被执行人家徒四壁，执行法官含眼泪进行腾房,凡人不凡911,217985251,,9:35,1679822077,0,850690,2337,3576,1615,0,11657,0,"必剪创作,老赖,强制执行,民生纪实,社会百态",21,日常,//i0.hdslb.com/bfs/archive/59080d866daee3d52f0bd2f55a6bb9cc51fc9700.jpg,http://www.bilibili.com/video/av696731609,0,,False,执行文化,1756708977
BV17QYSzqEeN,115065294492792,56.一日一事件：文化大革命,无聊的阿昌,3546750646225767,-,2:29,1755757387,0,316966,49,130,14092,0,46745,0,"历史,原创,社会,事件,必剪创作",21,日常,//i2.hdslb.com/bfs/archive/b2b3caff3eceeefbfb2d3fe816d6a98004a9cc01.jpg,http://www.bilibili.com/video/av115065294492792,0,,False,执行文化,1756708977
BV1Em4y177Ja,701154566,北京大学《中国古代政治与文化》阎步克 16集全,走进国学,1931000513,"网络
北京大学《中国古代政治与文化》阎步克 16集全",655:0,1689923230,0,100884,105,63,11328,0,2405,0,"历史,文化,人文,古代政治",208,校园学习,//i0.hdslb.com/bfs/archive/e0913b704fc9ec8991e6efa385789009379b343a.png,http://www.bilibili.com/video/av701154566,0,,False,执行文化,1756708977
BV19XaEzrEyZ,115127269523821,王文华-《绝对执行-管理者高效执行力的四种途径》,王文华老师,1359657622,王文华-《绝对执行-管理者高效执行力的四种途径》#执行力,11:18,1756703091,0,0,0,0,0,0,0,0,"领导力,执行力,团队管理,中层管理",209,职业职场,//i0.hdslb.com/bfs/archive/a2a2dbdd96965bcbbcde6e944d3a0bdd77ebff05.jpg,http://www.bilibili.com/video/av115127269523821,0,,False,执行文化,1756708977
BV1Xx4y1v78K,1004332255,办理保全与执行案件【完结有课件】,lawyer2981423,3461571426650409,购买课件、更多法律实务课、法律书籍加vx: lawyer2981423,720:40,1715400574,0,15696,19,29,2202,0,380,0,"学习,法律实务,律师执业,法律课程,律师课程",124,社科·法律·心理,//i1.hdslb.com/bfs/archive/6cf290cd043fccb7679449c675e5abc914a217b2.jpg,http://www.bilibili.com/video/av1004332255,0,,False,执行文化,1756708977
BV1x5411A7wB,459967406,付晓雷：原执行局法官深度剖析执行实战技能 第4讲 如何拘留被执行人,少年你有些皮,18296090,自学视频,42:31,1617541566,0,5457,6,4,270,0,52,0,"律师,执行",124,社科·法律·心理,//i2.hdslb.com/bfs/archive/2c42051a5eaff30eec296014f33829640536a72c.jpg,http://www.bilibili.com/video/av459967406,0,,False,执行文化,1756708979
BV1Xx4y1v78K,1004332255,办理保全与执行案件【完结有课件】,lawyer2981423,3461571426650409,购买课件、更多法律实务课、法律书籍加vx: lawyer2981423,720:40,1715400574,0,15696,19,29,2202,0,380,0,"学习,法律实务,律师执业,法律课程,律师课程",124,社科·法律·心理,//i1.hdslb.com/bfs/archive/6cf290cd043fccb7679449c675e5abc914a217b2.jpg,http://www.bilibili.com/video/av1004332255,0,,False,执行文化,1756708979
BV1mK4y1K75F,887120527,爱剪辑-流程执行好了就有文化,运营管理老司机,1571958948,企业文化的基础就是流程管理！----执行到位了就形成习惯，习惯就是文化！流程管理的重点就是执行落地。,6:0,1615510362,0,26,0,0,0,0,0,0,"公开课,经济,企业,课程,企业家,财经,企业管理,管理",207,财经商业,//i1.hdslb.com/bfs/archive/573c4920027a88b2e319a315fae727cadf630001.jpg,http://www.bilibili.com/video/av887120527,0,,False,执行文化,1756708979
BV1J94y1s72d,363581103,张进德：“民事执行八讲”名师亲授 律师实务大课,熊二讲堂,3546388302399907,more法律资料加V：1145447682,933:13,1695040428,0,32502,74,23,2374,0,357,0,"法律,律师,名师,民法典,律师实务,民事执行,青年律师",124,社科·法律·心理,//i0.hdslb.com/bfs/archive/b6788572c14ddff8d6b43f01f1d2e0efcac4cb8e.png,http://www.bilibili.com/video/av363581103,0,,False,执行文化,1756708979
BV1bQ4y187wo,705772408,如何拥有“圣人”般，恐怖的行动力，如利剑般执行！,一知君,1780540121,-王阳明,28:37,1699614018,0,2373631,8960,4528,184157,0,183935,0,"自律,专注,王阳明,自控力,自我提升,知行合一,行动力,阳明心学,个人成长,万物研究所,万物研究所·第11期",124,社科·法律·心理,//i1.hdslb.com/bfs/archive/07e844a1bbe31a8ff0389d493d107e1e53f82d68.jpg,http://www.bilibili.com/video/av705772408,0,,False,执行文化,1756708979
BV1bK4y1W7Ae,886149324,执行力,bili_42721752996,507945508,"VCD
金洋说段子",198:15,1610450819,0,3018,0,2,132,0,8,0,"执行,执行力,职业,职场,心理,制度,绩效,商战",209,职业职场,//i2.hdslb.com/bfs/archive/a98885bec8a058480053e102438ed8f1050b1fd6.png,http://www.bilibili.com/video/av886149324,0,,False,执行文化,1756708979
