bvid,aid,title,author,mid,description,duration,pubdate,created,view,danmaku,reply,favorite,coin,like,share,tag,typeid,typename,pic,arcurl,pts,arcrank,badgepay,search_keyword,collected_at
BV1MEXLYhEma,114183433623616,戴鹏民诉-执行程序总结,欠下巨额flag,502419066,-,24:58,1742301441,0,2373,0,2,101,0,37,0,"学习,课程,法考",21,日常,//i2.hdslb.com/bfs/archive/4cebf17710d1a0af962e4706a880e8ad62eca976.jpg,http://www.bilibili.com/video/av114183433623616,0,,False,执行方法,1756708834
BV1e3TuzHE2y,114636384898178,章义伍执行力从何来21·有效执行7步骤,小书生资料库,3546555332168026,21·有效执行7步骤,37:0,1749213502,0,612,0,0,37,0,9,0,"职场,执行力,管理",209,职业职场,//i0.hdslb.com/bfs/archive/696f3f7a8f07dcf7c2aafb94ceab6ed98648c0bf.png,http://www.bilibili.com/video/av114636384898178,0,,False,执行方法,1756708834
BV1iNe9zEEqh,115104569953481,低谷期低能量无痛邪修：一个让你逆转状态，回收执行力的顶级方法！(附操作文档)【开学第一课】,爱你的T酱,8188433,"这个方法多次在低谷期帮助我重新找回内心的秩序，也希望它能帮助更多有需要的人活出自己真正向往的样子，毫不费力的。请多多一键三连支持T酱 ❥(^_-)【T酱制作的方法论模板在置顶评论自取】本期点赞过两万，马上爆肝下一期，世界和我爱着你💗
参考资料：
斯蒂芬·盖斯. 弹性习惯. 湖南文艺出版社, 2021.
詹姆斯·克利尔. 掌控习惯. 北京联合出版公, 2019.
尼尔·菲奥里. 战胜拖拉. 东方出版社, 2008.",8:39,1756356795,0,379531,260,425,21843,0,16159,0,"学习,心理学,职场,情感,社交,自律,焦虑,心理分析,拖延,我的开学第一课",124,社科·法律·心理,//i2.hdslb.com/bfs/archive/28205cd58b99c14db35f47dea55bae9f10da35e5.jpg,http://www.bilibili.com/video/av115104569953481,0,,False,执行方法,1756708834
BV1z435znEjE,114792111015569,17.专题12 ：保全与先予执行,花事相逢,1260150526,,19:22,1751588785,0,122,0,0,4,0,1,0,自用,124,社科·法律·心理,//i1.hdslb.com/bfs/archive/10e7723c093ec93b6bf71c33d00848a6b6ff94d0.jpg,http://www.bilibili.com/video/av114792111015569,0,,False,执行方法,1756708834
BV16h411h7Fc,206503638,【纯湿货】极简方法论｜ 人生有可以执行到底的方法吗？,小唯的公寓,607363833,在「干货满满」遍天下的时代，我对「纯干货」「干货满满」，对别人的指责「一点干货都没有」真的有点PTSD了，让我们很不干货的来讨论一下，干货到底是什么？ 方法论到底有用吗？,9:19,1625612406,0,86219,235,256,1263,0,5628,0,"极简,生活,人生,自制,方法论,干货,很不干货,纯湿货,断舍离,极简主义",21,日常,//i1.hdslb.com/bfs/archive/fe41c605c7cb19f9cf05128b1c3bff6c8b96a6bb.jpg,http://www.bilibili.com/video/av206503638,0,,False,执行方法,1756708834
BV1gTeezjExL,115075880981290,一个让你拥有恐怖执行力的顶级思维，「当一个时间赌徒」,向上的金临,527146075,-,3:2,1755918666,0,963,0,0,93,0,25,0,"成长,心理,思维,经验分享,执行力,提升,赌徒,拖延,底层逻辑,顶级思维",21,日常,//i2.hdslb.com/bfs/archive/5c0f56764c124a5e8825ea7f65bc4f6b76ad350d.jpg,http://www.bilibili.com/video/av115075880981290,0,,False,执行方法,1756708834
BV13F41177aB,298975620,行政管理学丨第八章（第3节）行政执行,anny吖吖,393001401,http://ke.xinweiduedu.com.cn/s/pc/#/coursePackage/detail/134/stage,7:15,1652146685,0,504,0,1,3,0,5,0,"行政管理,行政管理学,线上课堂,课程",208,校园学习,//i1.hdslb.com/bfs/archive/928ffc922f704ed4e02005b3e1e103d1b57b6d72.jpg,http://www.bilibili.com/video/av298975620,0,,False,执行方法,1756708834
BV1bQ4y187wo,705772408,如何拥有“圣人”般，恐怖的行动力，如利剑般执行！,一知君,1780540121,-王阳明,28:37,1699614018,0,2373631,8960,4528,184157,0,183935,0,"自律,专注,王阳明,自控力,自我提升,知行合一,行动力,阳明心学,个人成长,万物研究所,万物研究所·第11期",124,社科·法律·心理,//i1.hdslb.com/bfs/archive/07e844a1bbe31a8ff0389d493d107e1e53f82d68.jpg,http://www.bilibili.com/video/av705772408,0,,False,执行方法,1756708834
BV1W142187fG,1556337601,【有方法可执行】人生下行 自我拯救！巨细致方法分享,钞能力毛毛,21262795,"人生下行 解法总结
1，运动+ 饮食习惯 调整走出生理性卡机状态，恢复解决问题的能力
2，打断+ 积极+ 行动+接受+释压，把日常内耗的消极思维模式，调整成积极思维模式
3，积累情绪管理工具，给大脑奖赏，换取灵感奖励
4，用呼吸冥想etc，修复专注力，解决注意力障碍
5，设置减少干扰源的专注环境，关闭视觉快速进入专注心流，零散信息归集处理
6，戒断信息流，变被动为主动调整信息获取方式。建立被动的数据源，优质信息源，戒断信息流这种垃圾食品
7，认知重构与人际关系中的伤害和解，所有的npc都是为了让我变强而存",73:4,1722589200,0,235971,525,415,19768,0,10669,0,"拖延症,焦虑,焦虑症,解决方案,社会观察局,请回答这个时代3.0",124,社科·法律·心理,//i0.hdslb.com/bfs/archive/e8c62688e876cb31915e281fcf4a4b79c5e34a84.jpg,http://www.bilibili.com/video/av1556337601,0,,False,执行方法,1756708834
BV122hozKEq7,115113008828150,有野心却懒惰，三个简单的方法重塑执行力,韧秋兰以为佩_Pei,1682400505,方法很简单，看起来很笨，但往往简单的方法有效果，往往因为简单被很多人无视，简单的执行力提效很多人都不会。,6:52,1756485580,0,625,0,4,94,0,28,0,"成长,学习,方法,老板,创业,执行力,个人ip",124,社科·法律·心理,//i0.hdslb.com/bfs/archive/5551740f684ea2a7ae43f18ad659fb9e9ab0077d.jpg,http://www.bilibili.com/video/av115113008828150,0,,False,执行方法,1756708834
