bvid,aid,title,author,mid,description,duration,pubdate,created,view,danmaku,reply,favorite,coin,like,share,tag,typeid,typename,pic,arcurl,pts,arcrank,badgepay,search_keyword,collected_at
BV1bQ4y187wo,705772408,如何拥有“圣人”般，恐怖的行动力，如利剑般执行！,一知君,1780540121,-王阳明,28:37,1699614018,0,2373631,8960,4528,184157,0,183935,0,"自律,专注,王阳明,自控力,自我提升,知行合一,行动力,阳明心学,个人成长,万物研究所,万物研究所·第11期",124,社科·法律·心理,//i1.hdslb.com/bfs/archive/07e844a1bbe31a8ff0389d493d107e1e53f82d68.jpg,http://www.bilibili.com/video/av705772408,0,,False,执行能力,1756708805
BV18Ueez7E8Y,115075763475429,执行力直接决定你在社会的生存能力,岚奕Lanyi,3546931420727972,-,4:4,1755917135,0,1024,0,4,144,0,49,0,"能力,社会,干货,认知,执行力,自我提升,强者思维,执行间隙,岚奕",21,日常,//i2.hdslb.com/bfs/archive/124a981e056b1b63b6dae751f004d96d52ac2c6f.jpg,http://www.bilibili.com/video/av115075763475429,0,,False,执行能力,1756708805
BV15Pa5zfEEH,115123712759826,人最了不起的能力：执行力是标配，认知力是高配，心力是顶配,毅衡读书,3546927620688697,-,3:20,1756648479,0,46,0,0,5,0,3,0,"能力,学习,心理,职场,人际关系,执行力,心力,心理观察室",228,人文历史,//i0.hdslb.com/bfs/archive/fa9434eca9584c17f671a85ae687204ade2890e6.jpg,http://www.bilibili.com/video/av115123712759826,0,,False,执行能力,1756708805
BV1dbdxY5Egh,114303071951057,没有恐怖执行力，永远都要被社会毒打,元恒启示录,3546614339733995,世界上只有一种东西可以让每一个人都逆袭。那就是让一个人的执行力，像打麻将的瘾那么大，像玩游戏的瘾那么大，废寝忘食的打，没日没夜的打。一个人要是干正经事能干到这种地步，他就算不成功，也一定是人中龙凤。,18:35,1744126772,0,32243,26,42,2599,0,1076,0,"逆袭,自律,执行力,心法,自我提升,天涯神贴,强者思维,我的修行笔记",124,社科·法律·心理,//i0.hdslb.com/bfs/archive/cc16db8ff8bf8008e321df1fd3bafa738c3626a8.jpg,http://www.bilibili.com/video/av114303071951057,0,,False,执行能力,1756708805
BV1Vw411w7PR,277307322,【执行力】是个人成功的元能力，但执行力无解,咪惹说,353996617,,11:48,1697619600,0,253165,1008,1134,26741,0,31153,0,"懒惰,拖延症,认知,执行力",124,社科·法律·心理,//i1.hdslb.com/bfs/archive/0dd2a1078c3e0214255f751f99274eccae8fbac6.jpg,http://www.bilibili.com/video/av277307322,0,,False,执行能力,1756708805
BV13U4y187NZ,672849253,余世维-赢在执行第2版,传奇刀神,304511311,余世维-赢在执行第2版,414:38,1619668002,0,26874,10,22,1117,0,162,0,"职场,管理,企业管理,企业",209,职业职场,//i0.hdslb.com/bfs/archive/fc2292d22a7985971d738b04dd2b486aa70d6f83.jpg,http://www.bilibili.com/video/av672849253,0,,False,执行能力,1756708805
BV1bK4y1W7Ae,886149324,执行力,bili_42721752996,507945508,"VCD
金洋说段子",198:15,1610450819,0,3018,0,2,132,0,8,0,"执行,执行力,职业,职场,心理,制度,绩效,商战",209,职业职场,//i2.hdslb.com/bfs/archive/a98885bec8a058480053e102438ed8f1050b1fd6.png,http://www.bilibili.com/video/av886149324,0,,False,执行能力,1756708805
BV1wt421371K,1802321813,天涯神帖:《如何提高一个人的执行力》,天涯版主小雨,3537114058721770,只有时代的天涯，没有天涯的时代，然而，一个时代，一个社区，作为时代的记录者，天涯的数据资产十分重要，应该妥善保护。,5:18,1711813352,0,22929,4,38,1609,0,916,0,"历史,学习,一个人,执行力,提高,天涯神帖,必剪创作,人文历史档案馆",228,人文历史,//i0.hdslb.com/bfs/archive/330452d40cf6012f197814ed3e61f0b900cb09e0.png,http://www.bilibili.com/video/av1802321813,0,,False,执行能力,1756708805
BV1zE411d75G,71152635,发展心理学：执行功能——促进儿童终身发展的重要能力,稚桥教育,382455080,"视频来源：YouTube Center on the Developing Child at Harvard University频道【稚桥原创字幕】
【关注“稚桥教育”公众号，了解本期视频详细内容，获取更多儿童早期发展与教育的优质资源】",5:37,1570982305,0,4919,1,8,246,0,93,0,"执行功能,儿童早期发展,儿童心理学,学前教育,早期教育,发展心理学,儿童发展,抑制控制,工作记忆,认知灵活性",124,社科·法律·心理,//i2.hdslb.com/bfs/archive/01792a4eb15f6c01e56d26ef2ad6915551f3eafb.jpg,http://www.bilibili.com/video/av71152635,0,,False,执行能力,1756708805
BV1aEegzDEKq,115061049983487,普通人逆袭第一步：练习提升执行力,沪上张叁金,3546957511396143,-,2:47,1755692575,0,237,0,0,24,0,9,0,"学习,经验分享,执行力,普通人逆袭,随手记录我的生活碎片",209,职业职场,//i2.hdslb.com/bfs/archive/0dd606ca6b9ba2001fd049e0150fb83b7f62d54b.jpg,http://www.bilibili.com/video/av115061049983487,0,,False,执行能力,1756708805
BV14Sg7zuEts,114894200440253,弱化我+第三者视角，养出恐怖执行力,顾珈在发光,3546387547425133,-,3:6,1753146695,0,32101,35,108,7622,0,5295,0,"成长,学习,执行力,拖延,行动力,内耗",21,日常,//i1.hdslb.com/bfs/archive/817d39a72e22b1da7783f94d02ee8e0df719ae19.jpg,http://www.bilibili.com/video/av114894200440253,0,,False,执行能力,1756708805
BV1MEXLYhEma,114183433623616,戴鹏民诉-执行程序总结,欠下巨额flag,502419066,-,24:58,1742301441,0,2373,0,2,101,0,37,0,"学习,课程,法考",21,日常,//i2.hdslb.com/bfs/archive/4cebf17710d1a0af962e4706a880e8ad62eca976.jpg,http://www.bilibili.com/video/av114183433623616,0,,False,执行能力,1756708805
BV1gTeezjExL,115075880981290,一个让你拥有恐怖执行力的顶级思维，「当一个时间赌徒」,向上的金临,527146075,-,3:2,1755918666,0,963,0,0,93,0,25,0,"成长,心理,思维,经验分享,执行力,提升,赌徒,拖延,底层逻辑,顶级思维",21,日常,//i2.hdslb.com/bfs/archive/5c0f56764c124a5e8825ea7f65bc4f6b76ad350d.jpg,http://www.bilibili.com/video/av115075880981290,0,,False,执行能力,1756708805
