bvid,aid,title,author,mid,description,duration,pubdate,created,view,danmaku,reply,favorite,coin,like,share,tag,typeid,typename,pic,arcurl,pts,arcrank,badgepay,search_keyword,collected_at
BV1bQ4y187wo,705772408,如何拥有“圣人”般，恐怖的行动力，如利剑般执行！,一知君,1780540121,-王阳明,28:37,1699614018,0,2373627,8960,4528,184157,0,183935,0,"自律,专注,王阳明,自控力,自我提升,知行合一,行动力,阳明心学,个人成长,万物研究所,万物研究所·第11期",124,社科·法律·心理,//i1.hdslb.com/bfs/archive/07e844a1bbe31a8ff0389d493d107e1e53f82d68.jpg,http://www.bilibili.com/video/av705772408,0,,False,提高执行力,1756708687
BV1iNe9zEEqh,115104569953481,低谷期低能量无痛邪修：一个让你逆转状态，回收执行力的顶级方法！(附操作文档)【开学第一课】,爱你的T酱,8188433,"这个方法多次在低谷期帮助我重新找回内心的秩序，也希望它能帮助更多有需要的人活出自己真正向往的样子，毫不费力的。请多多一键三连支持T酱 ❥(^_-)【T酱制作的方法论模板在置顶评论自取】本期点赞过两万，马上爆肝下一期，世界和我爱着你💗
参考资料：
斯蒂芬·盖斯. 弹性习惯. 湖南文艺出版社, 2021.
詹姆斯·克利尔. 掌控习惯. 北京联合出版公, 2019.
尼尔·菲奥里. 战胜拖拉. 东方出版社, 2008.",8:39,1756356795,0,379491,260,425,21842,0,16157,0,"学习,心理学,职场,情感,社交,自律,焦虑,心理分析,拖延,我的开学第一课",124,社科·法律·心理,//i2.hdslb.com/bfs/archive/28205cd58b99c14db35f47dea55bae9f10da35e5.jpg,http://www.bilibili.com/video/av115104569953481,0,,False,提高执行力,1756708687
BV1PT421z7Ej,1706567791,如何拥有超强执行力？就靠3个字：不要脸！一个视频根治躺平、拖延、摆烂！,硬核学长2077,1195497797,"为什么你去做事，刚过3秒就想放弃？而高手却能像打游戏一样，如利剑般疯狂执行？
这个视频，就给你解释清楚。赶紧点赞收藏。
 
我们解决问题，一定要抓本质。
执行力=动力-阻力
人和人之间的动力，其实差别不大。
哪怕是最菜的学渣，都知道努力很重要。但就是不做。
所以，想提高执行力，靠增加动力是几乎没用的。关键是要减少阻力。
然而很多人，会太在意牛马眼中的面子，这不敢做，那怕丢脸，结果被同化成执行力低下的牛马。
正如鲁迅所说：“丢脸不多，执行越拖。脸皮越厚，更快学透。”
所以，练就超强执行力，就靠3个字：不要脸",13:4,1725076808,0,426928,655,1047,37515,0,23552,0,"大学,知识,高中,学习,心理学,自律,学习方法,校园学习,哔哩哔哩开学季,社科·法律·心理,UP！新学期",124,社科·法律·心理,//i1.hdslb.com/bfs/archive/781351456c9c8a0100ca6f219776cab7520b1f74.jpg,http://www.bilibili.com/video/av1706567791,0,,False,提高执行力,1756708687
BV1yM4m1z78B,1305347752,一个视频彻彻底底的改变你的拖延症！让你执行力爆表,彭酱酱LINYA,332432527,"兄得们太久不见了！！老酱最近回国啦，这一阵子工作太忙了，导致长视频都没时间剪了，只能剪剪短视频发到隔壁。以后你们也想看短视频的话，我也发到这儿来？

先发个干货！拖延症这个问题从大二就开始严重困扰我，也导致我错失了一些机会。这期视频老酱彻彻底底地给大家讲下拖延病各种解决方法。因人而异！

高考的同学们都加油！！！！",13:31,1717226998,0,803842,6486,1021,36226,0,34734,0,"搞笑,学习,心理,工作,拖延症,自律,干货,考研,学习方法,2024高考季",208,校园学习,//i0.hdslb.com/bfs/archive/0fe74133c75dabf795366973aab2df3b57988b22.jpg,http://www.bilibili.com/video/av1305347752,0,,False,提高执行力,1756708687
BV1Ti4y1o7zu,549970706,提高执行力的四把钥匙,一坛酒话,541618061,"https://www.jinengjingsai.com/
执行力的四把钥匙",19:16,1639638213,0,16271,11,1,520,0,102,0,"面试,求职,找工作,职业,实习,学习,职场,打卡挑战",209,职业职场,//i1.hdslb.com/bfs/archive/ff7a8eac5be41e735b669f9765930505cfe00e10.jpg,http://www.bilibili.com/video/av549970706,0,,False,提高执行力,1756708687
BV12s4y1C7tX,997667278,【自律真相】拖延不是懒，如何在学习和工作中快速获得行动力？1个掌握无意识的心法+4个让你立刻行动的方法（深度心理解析）,南北大师兄,1712575974,1个深层管理无意识的心法+4个让你立刻行动的方法，希望能够帮助到你自律、改善拖延的状况，内容制作不易，感谢大家多多支持、三连关注哦！,24:24,1687771083,0,510755,1756,955,39242,0,31505,0,"考试,知识,学习,工作,心理学,多巴胺,自律,自控力,拖延,今天也要好好工作",124,社科·法律·心理,//i2.hdslb.com/bfs/archive/ce1bca446f63ed6dad583741e14bace96bdd66b2.jpg,http://www.bilibili.com/video/av997667278,0,,False,提高执行力,1756708687
BV1hx4y147uj,1006367369,刘光耀10步高效执行力，有执行力只需10步，做到才能得到，让你干起来的干货,小书生分享,3461566034872735,002.刘光耀10步高效执行力,106:39,1723355681,0,8701,9,23,731,0,155,0,"学习,职场,执行力",209,职业职场,//i1.hdslb.com/bfs/archive/938c4fc82fbc6790de978fbc13a8254aef99e789.jpg,http://www.bilibili.com/video/av1006367369,0,,False,提高执行力,1756708687
BV1dU4y1j7HR,675175044,从自控极差的废人，到超级自律的大神？UP亲测两个方法，改变自己像喝水一样简单,心河摆渡,230983435,"今天的视频可能会有点长
但干货满满，铁子们耐心看完
两本书、4个表现、3个真相、两个方法
让你从自控力极差到超级自律
UP亲测简单易用，行之有效，搞起来！
_______________________
如果觉得内容尚可，还望三连支持，谢谢铁子啦
这里是心河摆渡，每周分享有温度的成长内容
一个人能走多远，要看他与谁同行
下期成长干货，咱们不见不散",10:8,1630202402,0,3172389,15233,3307,202164,0,181673,0,"学习,自律,励志,读书,自控力,意志力,拖延症,掌控习惯,上瘾",124,社科·法律·心理,//i1.hdslb.com/bfs/archive/4832c0daf77942aa0a5bff297ed5cc12fbb4376c.jpg,http://www.bilibili.com/video/av675175044,0,,False,提高执行力,1756708687
BV1dbdxY5Egh,114303071951057,没有恐怖执行力，永远都要被社会毒打,元恒启示录,3546614339733995,世界上只有一种东西可以让每一个人都逆袭。那就是让一个人的执行力，像打麻将的瘾那么大，像玩游戏的瘾那么大，废寝忘食的打，没日没夜的打。一个人要是干正经事能干到这种地步，他就算不成功，也一定是人中龙凤。,18:35,1744126772,0,32243,26,42,2599,0,1076,0,"逆袭,自律,执行力,心法,自我提升,天涯神贴,强者思维,我的修行笔记",124,社科·法律·心理,//i0.hdslb.com/bfs/archive/cc16db8ff8bf8008e321df1fd3bafa738c3626a8.jpg,http://www.bilibili.com/video/av114303071951057,0,,False,提高执行力,1756708687
BV1xK411T7of,499195760,【TEDx2018】如何克服懒癌提高你的执行力,TED演讲百科,263558571,"TED Talks
你每天都要使用大脑的执行功能——它让你能够集中注意力、提前计划和抑制冲动。你能够提升这个能力，做得更好吗？认知学专家萨宾·德贝尔带着自己对于儿童成长的研究，探求影响执行功能的因素——以及你该如何运用这项功能来改变自己的坏习惯，达成你的目标。",9:17,1596719163,0,32988,21,22,1011,0,538,0,"心理,TED,英语,教育,学习",124,社科·法律·心理,//i2.hdslb.com/bfs/archive/426d9904db0c67bc41e45da9ae9cbe8aeaf54e2c.jpg,http://www.bilibili.com/video/av499195760,0,,False,提高执行力,1756708687
