bvid,aid,title,author,mid,description,duration,pubdate,created,view,danmaku,reply,favorite,coin,like,share,tag,typeid,typename,pic,arcurl,pts,arcrank,badgepay,search_keyword,collected_at
BV1MEXLYhEma,114183433623616,戴鹏民诉-执行程序总结,欠下巨额flag,502419066,-,24:58,1742301441,0,2373,0,2,101,0,37,0,"学习,课程,法考",21,日常,//i2.hdslb.com/bfs/archive/4cebf17710d1a0af962e4706a880e8ad62eca976.jpg,http://www.bilibili.com/video/av114183433623616,0,,False,落地执行,1756708892
BV1Uz421d7Kf,1350787706,一个人90%的时间执行力大于认知，不能落地的认知会特别累,潜云说-姚捷,28066019,,3:32,1708347934,0,161,0,1,2,0,1,0,"杭州,认知,落地,分享会,执行力,内卷,设计公司,摄影公司,潜云",209,职业职场,//i0.hdslb.com/bfs/archive/7beb0907427b01e045db684a7a7f1847956bc81d.jpg,http://www.bilibili.com/video/av1350787706,0,,False,落地执行,1756708892
BV1Pu41127gb,508498515,E21 工作落地与执行,Dionysus閔,260165838,,32:51,1642929180,0,64,0,0,3,0,1,0,五维,209,职业职场,//i0.hdslb.com/bfs/archive/d644fa6a5e6eacaa29badb36d613470dc0a18780.jpg,http://www.bilibili.com/video/av508498515,0,,False,落地执行,1756708892
BV1z435znEjE,114792111015569,17.专题12 ：保全与先予执行,花事相逢,1260150526,,19:22,1751588785,0,122,0,0,4,0,1,0,自用,124,社科·法律·心理,//i1.hdslb.com/bfs/archive/10e7723c093ec93b6bf71c33d00848a6b6ff94d0.jpg,http://www.bilibili.com/video/av114792111015569,0,,False,落地执行,1756708892
BV1c3eqzgEV6,115076283503590,【2025最新】侯志涛 ：诉讼与执行案件中查找财产线索地图侯志涛_执行案件实务操作技能训练营 侯志涛：拒不执行判决、裁定罪在执行案件应用的难点,欺负vqah,3546917367712466,【2025最新】侯志涛 ：诉讼与执行案件中查找财产线索地图侯志涛_执行案件实务操作技能训练营 侯志涛：拒不执行判决、裁定罪在执行案件应用的难点,895:32,1755925783,0,282,0,0,29,0,10,0,"法律,地图,技能,案件,训练营,线索,财产,法学,实务,执行案件",208,校园学习,//i1.hdslb.com/bfs/archive/63329781e1ba0f235587b17f9144108775acb556.jpg,http://www.bilibili.com/video/av115076283503590,0,,False,落地执行,1756708892
BV12gEvzMEsN,114504029509042,[全4期]李军：『执行三板斧』实务操作课 #李军课程合集,法学无边薇kwd813,3546681081596398,"视频随时会删，更多课看祝、业、详~~情~~
李军:[执行三板斧]，实务操作课
李军:国企合规管理实务指南(23年国企改革业务专家精讲)
李军:新《公司法》与新一轮国企改革实务精讲
李军:新公司法实施下，国有企业治理核心要点突破
李军:执行捍卫战--主动出击实战指南
李军:执行行为异议及执行标的异议实操全解
侯志涛、李军、李硕联袂:追加被执行人与财产查找全攻略
声明：资源收集于网络，仅用于试学及购买课程之参考，切勿用于其他用途！如若侵权，请留言告知删除，谢谢！投稿为自制是为了防止二次搬运添加水印，敬请理解。",57:7,1747203000,0,3268,9,1,197,0,49,0,"视频教程,详解,模块",124,社科·法律·心理,//i2.hdslb.com/bfs/archive/02e78cf6d10c729bda183ada9ab264c4398b78c1.jpg,http://www.bilibili.com/video/av114504029509042,0,,False,落地执行,1756708892
BV1SfeJzVEpc,115084571446958,执行部分结束！民诉暑期带背第56天~执行竞合与终止本次执行,民诉韩心怡,514931238,多做题多总结，我们一定没有问题~,3:45,1756077600,0,2016,1,6,19,0,48,0,"考试,学习,法学,民诉,法考,法考客观题,暑期带背,卷二总动员",124,社科·法律·心理,//i0.hdslb.com/bfs/archive/dd447c12411e1fd1049ec388528c9172254fd307.jpg,http://www.bilibili.com/video/av115084571446958,0,,False,落地执行,1756708892
BV15xBcYbEWq,113658407425017,欠40万10年都不还，法官去执行，女子：我离婚了！法官：直接拘留！#真实事件 #老赖 #执行现场,穷奢极欲Leo,437191859,-,19:28,1734290124,0,26973,71,140,50,0,222,0,"犯罪,社会,真实事件,法制,案件,老赖",124,社科·法律·心理,//i2.hdslb.com/bfs/archive/ebfaf0a8cb66effdd2e003fe9618b64120df14d0.jpg,http://www.bilibili.com/video/av113658407425017,0,,False,落地执行,1756708892
BV1dzK6zzEr5,114755184369213,法考  民诉法 执行程序 执行程序小结，知识点总结,柳柳妹子,1299793851,-,37:23,1751025415,0,1279,0,0,52,0,21,0,"程序,民诉,小结,法考,执行程序,必剪创作",124,社科·法律·心理,//i1.hdslb.com/bfs/archive/49ea315e2652ef08aaf623898b49961c7e1b34b3.jpg,http://www.bilibili.com/video/av114755184369213,0,,False,落地执行,1756708892
BV1wWk1YVE2E,113683824906783,被执行人闭门不出，执行法官翻墙堵人,cctv热线12,123996559,,11:7,1734677987,0,166407,6,10,1563,0,715,0,"律师,法官,案件,民法典,失信被执行",124,社科·法律·心理,//i1.hdslb.com/bfs/archive/d54e808ac2157e25a022d4dd59992e5143e44397.jpg,http://www.bilibili.com/video/av113683824906783,0,,False,落地执行,1756708892
BV1Kt4y1k7T5,628148271,轻松学-流程管理落地执行 共12讲,麦盟企业咨询,597052025,"本课程一共12节，如需听完整课程请关注&quot;麦盟顾问平台&quot;公众号获取最新课程信息。
如有疑问，请咨询课程助手小麦（微信号 ：mf-tal2018）",48:4,1607946623,0,10876,9,4,556,0,75,0,"职场人是这样练成的,学习,管理,企业管理,职场,管理学,项目管理,PMP,流程管理,流程",209,职业职场,//i2.hdslb.com/bfs/archive/95b34f76e7fb3790c64265deb59e56c5fa86cd7d.jpg,http://www.bilibili.com/video/av628148271,0,,False,落地执行,1756708892
BV1Ka411G779,217339501,典中典：只要他不申请执行，我就不给钱,真的想不出名儿了,2990100,不要对老赖属性的人存有怜悯之心,7:7,1661335200,0,1676062,6534,3666,11572,0,93891,0,"社会观察局2022第二季,社会观察局,律师,执行难就是因为有你这种人吧,大兄弟你这样我很难不开团,不想还钱就直说,还搁这儿比比呢,一审二审都判你还钱",124,社科·法律·心理,//i2.hdslb.com/bfs/archive/ef1b5573fe082d3ee0bb0aa506558ef7f2ea86eb.jpg,http://www.bilibili.com/video/av217339501,0,,False,落地执行,1756708892
BV1pbe6zsEtY,115078414208941,民诉暑期带背第55天~参与分配与执行转破产,民诉韩心怡,514931238,新的一天，新的加油~胜利曙光就在前方啦,4:11,1755991200,0,2095,3,2,13,0,39,0,"考试,学习,法学,民诉,法考,法考客观题,暑期带背,卷二总动员",124,社科·法律·心理,//i2.hdslb.com/bfs/archive/a505dad601e74f65ce0a2dcd9694eea731c45085.jpg,http://www.bilibili.com/video/av115078414208941,0,,False,落地执行,1756708892
BV1Md4y1R7UK,387640847,【对执行行为的异议、案外人对执行标的的异议】执行程序——法考戴鹏,北小南霞,2559227,自学用，侵删。,23:51,1662274880,0,32968,51,39,833,0,478,0,"法考,民诉,学习",124,社科·法律·心理,//i2.hdslb.com/bfs/archive/d1700db02a8438f24eb8747d00c41d53979496f1.jpg,http://www.bilibili.com/video/av387640847,0,,False,落地执行,1756708892
BV1jpwbeBEH3,113864448481390,第四讲如何拘留被执行人,龙虾不在家,398006284,,42:32,1737433740,0,1991,0,5,225,0,41,0,"法律,学习,社会,律师,普法,合同,不良资产,法考,债权,新年新知识,2025哔哩哔哩迎春会",124,社科·法律·心理,//i2.hdslb.com/bfs/archive/f63ba8ba1bd9ff94fe0e9ea2ae6421cf160299c2.jpg,http://www.bilibili.com/video/av113864448481390,0,,False,落地执行,1756708892
BV18b4y1J77E,635744195,1121预算执行讲解,大大超级阿达,703151641,,88:53,1642129739,0,1175,0,1,72,0,16,0,职业,209,职业职场,//i0.hdslb.com/bfs/archive/f375ec8b83a447d0f52ac988be8c2453748bd5f2.jpg,http://www.bilibili.com/video/av635744195,0,,False,落地执行,1756708892
BV1Em4y1r79Q,696731609,不是老赖的老赖，被执行人家徒四壁，执行法官含眼泪进行腾房,凡人不凡911,217985251,,9:35,1679822077,0,850690,2337,3576,1615,0,11657,0,"必剪创作,老赖,强制执行,民生纪实,社会百态",21,日常,//i0.hdslb.com/bfs/archive/59080d866daee3d52f0bd2f55a6bb9cc51fc9700.jpg,http://www.bilibili.com/video/av696731609,0,,False,落地执行,1756708892
