bvid,aid,title,author,mid,description,duration,pubdate,created,view,danmaku,reply,favorite,coin,like,share,tag,typeid,typename,pic,arcurl,pts,arcrank,badgepay,search_keyword,collected_at
BV1nd4y1Q7Tc,386008108,No.031『高效能人士的执行4原则』 帮你破解执行力密码。你的指标不是年底脱单，而是每天约1名异性吃饭～hhh,檀东东Tango,14739873,,9:16,1658310588,0,16353,7,23,742,0,320,0,"职场加油站2022第二季,职场加油站,思维方式,职场,执行力,高效能人士,目标管理,提高执行力,工作提效,指标分解,职场学习",209,职业职场,//i2.hdslb.com/bfs/archive/b1a4da7e51ddf2241bac6a987712ac0bf63bd2ef.jpg,http://www.bilibili.com/video/av386008108,0,,False,高效执行,1756708863
BV1bQ4y187wo,705772408,如何拥有“圣人”般，恐怖的行动力，如利剑般执行！,一知君,1780540121,-王阳明,28:37,1699614018,0,2373631,8960,4528,184157,0,183935,0,"自律,专注,王阳明,自控力,自我提升,知行合一,行动力,阳明心学,个人成长,万物研究所,万物研究所·第11期",124,社科·法律·心理,//i1.hdslb.com/bfs/archive/07e844a1bbe31a8ff0389d493d107e1e53f82d68.jpg,http://www.bilibili.com/video/av705772408,0,,False,高效执行,1756708863
BV1YXaEzrEhP,115127269461787,王文华《绝对执行-管理者高效执行力的四种途径》,王文华老师,1359657622,王文华老师17年企业中高层管理人才系统训练专家，擅长领域：MTP系列、团队管理，目标管理、领导力、执行力、有效沟通，非人等,11:18,1756702823,0,0,0,0,0,0,0,0,"教育,执行力,管理,企业管理,管理者",209,职业职场,//i0.hdslb.com/bfs/archive/e97d9a600c317941b2839b1d0553b70fad254700.jpg,http://www.bilibili.com/video/av115127269461787,0,,False,高效执行,1756708863
BV1Nx421U7ec,1753163628,《高效执行四原则》高效战略执行实践案例分享,原來是林溪,483820126,,29:17,1713183261,0,396,0,0,12,0,3,0,"高效,战略,实践,案例分享",209,职业职场,//i0.hdslb.com/bfs/archive/4ab8704d3d7fe7204af64007317382c266e96c9f.jpg,http://www.bilibili.com/video/av1753163628,0,,False,高效执行,1756708863
BV19XaEzrEyZ,115127269523821,王文华-《绝对执行-管理者高效执行力的四种途径》,王文华老师,1359657622,王文华-《绝对执行-管理者高效执行力的四种途径》#执行力,11:18,1756703091,0,0,0,0,0,0,0,0,"领导力,执行力,团队管理,中层管理",209,职业职场,//i0.hdslb.com/bfs/archive/a2a2dbdd96965bcbbcde6e944d3a0bdd77ebff05.jpg,http://www.bilibili.com/video/av115127269523821,0,,False,高效执行,1756708863
BV1GBsaeeEF2,113192302808558,关于执行力的九个趣味案例,黑岩漫说,1326474009,-,8:7,1727177891,0,1047,0,2,45,0,10,0,"学习,人文,职场,趣味,案例,经验分享,执行力,必剪创作,每天一个健康知识,万物研究所·夏日探索计划",201,科学科普,//i0.hdslb.com/bfs/archive/3d0e77c4983eb5c66915f63d264912ad047530a7.jpg,http://www.bilibili.com/video/av113192302808558,0,,False,高效执行,1756708863
BV1H34y1d7PE,806707381,21.有效执行7步骤,yzzzy,12157859,,24:26,1636698827,0,9909,3,2,433,0,52,0,企业管理,209,职业职场,//i2.hdslb.com/bfs/archive/8176da5e03b6f28c12839a97ff175b7fa1bfbb86.jpg,http://www.bilibili.com/video/av806707381,0,,False,高效执行,1756708863
BV1MEXLYhEma,114183433623616,戴鹏民诉-执行程序总结,欠下巨额flag,502419066,-,24:58,1742301441,0,2373,0,2,101,0,37,0,"学习,课程,法考",21,日常,//i2.hdslb.com/bfs/archive/4cebf17710d1a0af962e4706a880e8ad62eca976.jpg,http://www.bilibili.com/video/av114183433623616,0,,False,高效执行,1756708863
BV1KA411h7Zg,327581865,【学习】阳光心态与高效执行力（一）,一只数学老师,166555649,本视频仅供学习交流！,32:1,1585582325,0,3656,2,11,138,0,17,0,"教育,课程,学习,线上课堂",208,校园学习,//i2.hdslb.com/bfs/archive/a92260b5ae7c48e12841179ebd670810edf51cf1.jpg,http://www.bilibili.com/video/av327581865,0,,False,高效执行,1756708863
BV1iNe9zEEqh,115104569953481,低谷期低能量无痛邪修：一个让你逆转状态，回收执行力的顶级方法！(附操作文档)【开学第一课】,爱你的T酱,8188433,"这个方法多次在低谷期帮助我重新找回内心的秩序，也希望它能帮助更多有需要的人活出自己真正向往的样子，毫不费力的。请多多一键三连支持T酱 ❥(^_-)【T酱制作的方法论模板在置顶评论自取】本期点赞过两万，马上爆肝下一期，世界和我爱着你💗
参考资料：
斯蒂芬·盖斯. 弹性习惯. 湖南文艺出版社, 2021.
詹姆斯·克利尔. 掌控习惯. 北京联合出版公, 2019.
尼尔·菲奥里. 战胜拖拉. 东方出版社, 2008.",8:39,1756356795,0,379531,260,425,21843,0,16159,0,"学习,心理学,职场,情感,社交,自律,焦虑,心理分析,拖延,我的开学第一课",124,社科·法律·心理,//i2.hdslb.com/bfs/archive/28205cd58b99c14db35f47dea55bae9f10da35e5.jpg,http://www.bilibili.com/video/av115104569953481,0,,False,高效执行,1756708863
BV1nq4y177Gn,546018111,高效执行能力 全5讲 主讲-王明基 视频教程,若溪资源,327685981,"共计16950门课程 详情请参考：https://docs.qq.com/doc/DT3N0cmlITFhKSmxw
共计16950门课程 详情请参考：https://docs.qq.com/doc/DT3N0cmlITFhKSmxw",48:54,1623308825,0,259,0,0,13,0,3,0,"学习,课程,视频教程",208,校园学习,//i0.hdslb.com/bfs/archive/9e88777c7863fb2376904c2aee174f4a27c10b49.jpg,http://www.bilibili.com/video/av546018111,0,,False,高效执行,1756708863
BV1tMYxzUEwa,115048651428364,夜里千条路，白天卖豆腐？躺平时代，如何提升执行力，做个“行动派”？达芬奇、胡适都在用的高效执行法，你值得拥有！,半亩野草ぃ,3546695874906293,"欢迎来到「半亩野草ぃ」的世界！

✨希望这里，能够成为你忙碌生活里的治愈角落。

让我们一起野蛮生长，大步前行！

🌿野草向阳，我们向上！    加油！",18:6,1755861000,0,1007,0,8,89,0,45,0,"学习,拖延症,焦虑,执行力,自我提升,工作效率,个人成长,番茄工作,内耗,心理观察室",124,社科·法律·心理,//i1.hdslb.com/bfs/archive/e9ce243a001f1f61224a121b52e1289ed0e743ee.jpg,http://www.bilibili.com/video/av115048651428364,0,,False,高效执行,1756708863
BV1sT411S7u4,482325935,《高效能人士的执行4原则》世界500强企业最为推崇的顶级执行法则,依东望-,264503780,《高效能人士的执行4原则》世界500强企业最为推崇的顶级执行法则,20:22,1676993284,0,1378,0,2,43,0,15,0,"寻找100位内行人对谈,内行人在身边,必剪创作,知识,科学,科普",201,科学科普,//i0.hdslb.com/bfs/archive/2331d3052e1f099ad8f45254defb2b0175f0377e.jpg,http://www.bilibili.com/video/av482325935,0,,False,高效执行,1756708863
BV1gTeezjExL,115075880981290,一个让你拥有恐怖执行力的顶级思维，「当一个时间赌徒」,向上的金临,527146075,-,3:2,1755918666,0,963,0,0,93,0,25,0,"成长,心理,思维,经验分享,执行力,提升,赌徒,拖延,底层逻辑,顶级思维",21,日常,//i2.hdslb.com/bfs/archive/5c0f56764c124a5e8825ea7f65bc4f6b76ad350d.jpg,http://www.bilibili.com/video/av115075880981290,0,,False,高效执行,1756708863
BV1LM4y1g7Z6,931377080,掌握高效执行力，用行动战胜拖延症！,易普斯咨询,561838742,"手头的事还没做完，新活儿就又堆了过来！
上班吃瓜摸鱼无心工作，下班Deadline来袭没空开心。
学习？健身？明天再说吧......

现如今，社会节奏逐渐变快，人们的压力不断增大，越来越多的年轻人想躺平，正所谓“一时躺平一时爽，一直躺平一直爽”。躺平是一种选择，但是若想真的“爽”，大家都知道还是需要事先将手头的工作处理好，然后才能“躺”的心安理得。

如若不然，短期的反复躺平则会造成长期的拖延状态，这也是当前许多年轻人都有的通病——拖延症。",61:54,1625447020,0,2354,2,1,136,0,20,0,"说说心理话,热点,心理,心理学,心理话,调节心理,学习,教育,拖延,拖延症",124,社科·法律·心理,//i0.hdslb.com/bfs/archive/9de9e239ab1c29a0eace533715b9ab6a3af5fcc4.jpg,http://www.bilibili.com/video/av931377080,0,,False,高效执行,1756708863
BV1bdnRe2EwJ,113055333745316,高效执行力才是最终生产力,清晖知识分享官,1650043161,免费获取最新项目管理类备考资料,109:46,1725796856,0,2582,0,1,114,0,15,0,"高效,学习,职场,执行力,管理,生产力,项目管理,高效执行",209,职业职场,//i1.hdslb.com/bfs/archive/03f69697bc6062f6b1346ba0a19b1b3f439d2fca.png,http://www.bilibili.com/video/av113055333745316,0,,False,高效执行,1756708863
